,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,João Gomes,0,0,0,0,1,3,1,0,55,1,6,0,2,0,1,Wolverhampton Wanderers FC
1,M. Lemina,0,0,0,0,0,2,0,1,41,0,4,0,1,0,1,Wolverhampton Wanderers FC
2,Pedro Neto,0,0,0,0,1,2,0,0,60,7,1,0,0,2,,
3,Toti Gomes,0,0,0,1,1,1,0,1,81,0,3,0,0,0,1,Wolverhampton Wanderers FC
4,C. Dawson,0,0,0,0,0,0,0,0,77,0,1,0,0,0,,
5,M. Kilman,0,0,0,0,0,0,0,0,86,1,1,0,1,0,1,Wolverhampton Wanderers FC
6,José Sá,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,Wolverhampton Wanderers FC
7,Nélson Semedo,0,0,0,1,1,0,0,0,49,3,2,0,1,2,1,Wolverhampton Wanderers FC
8,R. Aït-Nouri,0,1,0,0,1,0,0,0,56,2,3,0,2,0,1,Wolverhampton Wanderers FC
9,Pablo Sarabia,1,0,0,0,0,5,1,1,54,7,1,0,1,0,1,Wolverhampton Wanderers FC
10,Hwang Hee-Chan,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,Wolverhampton Wanderers FC
11,T. Doyle,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,Wolverhampton Wanderers FC
12,J. Bellegarde,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,
13,M. Doherty,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Wolverhampton Wanderers FC
14,I. Grbić,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,Sheffield United FC
15,A. Trusty,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,Sheffield United FC
16,A. Ahmedhodžić,0,0,0,1,2,1,0,1,30,1,2,0,1,0,0,Sheffield United FC
17,J. Bogle,0,0,0,0,0,0,0,0,31,0,2,0,1,1,0,Sheffield United FC
18,O. Norwood,0,0,0,0,0,0,0,0,42,0,3,0,0,2,0,Sheffield United FC
19,J. Robinson,0,0,0,0,0,1,1,0,28,1,1,0,1,0,0,Sheffield United FC
20,Vinicius Souza,0,0,0,0,0,0,0,0,30,1,5,0,0,0,0,Sheffield United FC
21,R. Brewster,0,0,0,0,1,4,2,1,11,0,0,0,0,3,,
22,J. McAtee,0,0,0,0,1,3,1,1,25,1,0,0,0,1,0,Sheffield United FC
23,G. Hamer,0,0,0,0,2,1,0,0,29,8,1,0,0,0,0,Sheffield United FC
24,Y. Larouci,0,0,0,0,0,1,0,0,23,3,2,0,1,0,0,Sheffield United FC
25,B. Osborn,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,Sheffield United FC
26,W. Osula,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sheffield United FC
27,T. Davies,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,
28,O. McBurnie,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,Sheffield United FC
