,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Richarlison,0,0,0,0,1,3,0,1,18,1,0,1,2,0,1,Tottenham Hotspur FC
1,J. Maddison,0,0,0,0,1,1,0,0,61,10,2,0,0,1,1,Tottenham Hotspur FC
2,B. Davies,0,0,0,0,1,3,1,0,46,6,2,0,1,2,,
3,M. van de Ven,0,0,0,0,0,0,0,0,101,0,2,0,2,1,1,Tottenham Hotspur FC
4,G. Vicario,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,Tottenham Hotspur FC
5,C. Romero,0,0,0,0,1,0,0,0,114,0,2,0,1,1,1,Tottenham Hotspur FC
6,Y. Bissouma,0,0,0,0,0,0,0,0,70,0,5,0,0,0,1,Tottenham Hotspur FC
7,D. Kulusevski,1,0,0,0,3,4,2,1,57,7,4,0,1,0,1,Tottenham Hotspur FC
8,Son Heung-Min,0,0,0,0,2,0,0,0,48,4,0,0,0,1,1,Tottenham Hotspur FC
9,Emerson Royal,0,0,0,0,1,1,1,0,81,2,4,0,1,5,1,Tottenham Hotspur FC
10,P. Sarr,0,0,0,0,0,1,0,0,59,0,0,0,0,1,1,Tottenham Hotspur FC
11,R. Bentancur,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,Tottenham Hotspur FC
12,T. Werner,0,0,0,0,0,2,0,2,12,3,0,0,0,0,1,Tottenham Hotspur FC
13,B. Johnson,0,0,0,0,0,0,0,0,11,0,2,0,0,1,1,Tottenham Hotspur FC
14,P. Højbjerg,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,Tottenham Hotspur FC
15,G. Lo Celso,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,Tottenham Hotspur FC
16,Pablo Sarabia,0,1,0,0,1,3,2,0,25,2,0,1,1,1,0,Wolverhampton Wanderers FC
17,M. Kilman,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,Wolverhampton Wanderers FC
18,M. Lemina,0,0,0,0,0,1,1,0,17,0,2,0,0,0,0,Wolverhampton Wanderers FC
19,João Gomes,2,0,0,1,0,2,2,0,23,0,6,0,4,0,0,Wolverhampton Wanderers FC
20,Toti Gomes,0,0,0,0,0,0,0,0,41,0,2,0,3,0,0,Wolverhampton Wanderers FC
21,Pedro Neto,0,1,0,0,1,2,0,0,30,6,0,0,1,1,,
22,José Sá,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,Wolverhampton Wanderers FC
23,Nélson Semedo,0,0,0,0,0,1,1,0,29,2,2,0,1,1,0,Wolverhampton Wanderers FC
24,C. Dawson,0,0,0,0,0,0,0,0,28,0,0,0,0,2,,
25,R. Aït-Nouri,0,0,0,0,1,1,1,0,31,1,1,0,1,1,0,Wolverhampton Wanderers FC
26,Hwang Hee-Chan,0,0,0,0,0,1,0,0,19,0,2,0,2,2,0,Wolverhampton Wanderers FC
27,J. Bellegarde,0,0,0,0,1,1,0,1,3,2,0,0,0,0,,
28,M. Doherty,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Wolverhampton Wanderers FC
29,B. Traoré,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Wolverhampton Wanderers FC
