,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,D. Rice,0,0,0,0,0,2,0,1,107,1,4,0,1,0,1,Arsenal FC
1,Gabriel Jesus,0,0,0,1,0,3,1,0,39,0,2,0,0,4,1,Arsenal FC
2,Gabriel Magalhães,0,0,0,0,0,1,0,0,92,2,1,0,0,2,1,Arsenal FC
3,W. Saliba,0,0,0,0,1,1,0,1,89,0,0,0,0,0,1,Arsenal FC
4,O. Zinchenko,0,0,0,0,0,0,0,0,66,1,1,0,1,0,1,Arsenal FC
5,L. Trossard,0,0,0,0,1,5,1,1,46,2,3,0,1,0,1,Arsenal FC
6,M. Ødegaard,0,0,0,0,2,3,1,1,81,6,1,0,1,1,1,Arsenal FC
7,B. White,0,0,0,0,1,1,0,0,82,3,2,0,0,0,1,Arsenal FC
8,B. Saka,0,0,0,0,3,9,3,5,62,8,3,0,2,1,1,Arsenal FC
9,Gabriel Martinelli,0,0,0,0,1,1,0,0,29,2,1,0,1,0,1,Arsenal FC
10,David Raya,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,Arsenal FC
11,R. Nelson,0,0,0,1,0,1,0,0,16,3,1,0,1,0,1,Arsenal FC
12,E. Nketiah,0,0,0,0,1,2,1,1,6,2,0,0,0,0,1,Arsenal FC
13,E. Smith Rowe,0,0,0,0,0,1,1,0,17,0,1,0,0,0,1,Arsenal FC
14,Lucas Paquetá,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,West Ham United FC
15,K. Mavropanos,1,0,0,0,0,1,1,0,13,0,2,0,1,0,0,West Ham United FC
16,E. Álvarez,0,0,0,0,0,0,0,0,25,0,5,0,0,1,0,West Ham United FC
17,V. Coufal,0,0,0,0,0,0,0,0,23,1,2,0,0,1,0,West Ham United FC
18,J. Ward-Prowse,0,1,0,0,0,1,0,0,22,4,1,0,1,1,0,West Ham United FC
19,Emerson,0,0,0,0,1,0,0,0,25,1,5,0,1,2,0,West Ham United FC
20,A. Ogbonna,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,West Ham United FC
21,A. Areola,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,West Ham United FC
22,M. Kudus,0,0,0,0,2,1,0,1,24,1,2,0,2,1,0,West Ham United FC
23,T. Souček,1,0,0,0,0,1,1,0,22,0,2,0,0,1,0,West Ham United FC
24,J. Bowen,0,1,0,0,0,0,0,0,16,0,0,1,2,0,0,West Ham United FC
25,S. Benrahma,0,0,0,0,0,2,1,1,22,1,2,0,1,0,,
