,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,T. Kaminski,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,Luton Town FC
1,T. Lockyer,0,0,0,0,0,0,0,0,34,0,6,0,2,0,,
2,J. Brown,0,0,0,0,1,0,0,0,15,0,1,0,2,2,,
3,A. Doughty,0,0,0,1,2,0,0,0,21,8,3,0,1,0,1,Luton Town FC
4,A. Bell,0,0,0,0,0,0,0,0,46,0,0,0,3,0,,
5,E. Adebayo,1,0,0,0,1,1,1,0,14,0,0,1,1,0,,
6,R. Giles,0,0,0,0,1,0,0,0,24,3,3,0,1,0,,
7,T. Mengi,0,0,0,0,0,0,0,0,31,0,0,0,3,1,1,Luton Town FC
8,A. Townsend,0,1,0,0,0,1,1,0,17,4,1,0,0,0,1,Luton Town FC
9,M. Nakamba,0,0,0,1,0,0,0,0,20,0,2,0,3,0,,
10,R. Barkley,0,0,0,0,0,1,0,0,29,0,2,0,0,0,1,Luton Town FC
11,A. Sambi Lokonga,0,0,0,0,0,0,0,0,9,0,2,0,0,0,1,Luton Town FC
12,C. Morris,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,Luton Town FC
13,T. Chong,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,Luton Town FC
14,Jordan Charles Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,M. Kovačić,0,0,0,0,0,1,0,0,83,0,3,0,0,2,0,Manchester City FC
16,Bernardo Silva,1,0,0,0,0,3,1,1,45,1,4,0,0,3,0,Manchester City FC
17,P. Foden,0,0,0,0,0,2,2,0,51,1,2,0,0,4,0,Manchester City FC
18,Rúben Dias,0,0,0,0,0,1,1,0,82,0,1,0,2,0,0,Manchester City FC
19,J. Grealish,1,0,0,0,1,3,1,2,41,0,1,0,0,3,0,Manchester City FC
20,Rodri,0,0,0,1,0,3,1,0,96,0,3,1,4,0,0,Manchester City FC
21,N. Aké,0,0,0,0,0,0,0,0,52,1,1,0,0,0,0,Manchester City FC
22,K. Walker,0,0,0,0,0,1,0,0,42,3,2,0,0,1,,
23,J. Gvardiol,0,0,0,0,1,1,0,1,43,1,0,0,0,1,0,Manchester City FC
24,J. Álvarez,0,1,0,0,1,3,0,1,29,1,3,0,0,1,0,Manchester City FC
25,Ederson,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,Manchester City FC
26,J. Stones,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Manchester City FC
27,Matheus Nunes,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Manchester City FC
28,Manuel Obafemi Akanji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
