,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Igor Julio,0,0,0,0,0,0,0,0,83,0,2,0,0,0,1,Brighton & Hove Albion FC
1,S. Adingra,1,0,0,1,1,1,1,0,37,1,3,0,2,3,1,Brighton & Hove Albion FC
2,A. Webster,1,0,0,0,0,1,0,0,92,0,2,0,1,0,,
3,A. Lallana,0,0,0,0,0,0,0,0,27,0,0,0,1,1,1,Brighton & Hove Albion FC
4,P. Groß,0,0,0,0,1,0,0,0,49,10,1,0,0,1,1,Brighton & Hove Albion FC
5,J. van Hecke,0,0,0,0,0,1,0,0,112,0,2,0,0,1,1,Brighton & Hove Albion FC
6,J. Steele,0,0,0,0,0,0,0,0,31,0,0,0,0,0,,
7,Ansu Fati,0,0,0,0,0,2,2,0,25,0,0,1,0,1,1,Brighton & Hove Albion FC
8,Mahmoud Dahoud,0,0,1,0,0,1,1,0,46,1,1,0,2,0,,
9,B. Gilmour,0,0,0,0,1,1,1,0,66,0,0,0,2,4,,
10,F. Buonanotte,0,1,0,1,0,1,0,0,13,1,0,0,2,1,1,Brighton & Hove Albion FC
11,K. Mitoma,0,0,0,0,2,2,1,1,21,0,0,1,0,0,,
12,João Pedro,0,0,0,0,1,1,0,0,11,1,0,1,1,3,1,Brighton & Hove Albion FC
13,C. Baleba,0,0,0,1,0,0,0,0,9,0,1,0,2,1,1,Brighton & Hove Albion FC
14,J. Veltman,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,Brighton & Hove Albion FC
15,G. Hamer,0,0,0,0,0,1,0,0,40,2,2,0,1,1,0,Sheffield United FC
16,O. Norwood,0,0,0,0,0,1,0,1,64,1,7,0,2,1,0,Sheffield United FC
17,G. Baldock,0,0,0,0,2,1,0,0,51,1,3,0,3,2,,
18,C. Archer,0,0,0,0,0,0,0,0,8,0,1,0,1,1,0,Sheffield United FC
19,Vinicius Souza,0,0,0,0,0,0,0,0,9,0,2,1,1,2,0,Sheffield United FC
20,J. McAtee,0,0,0,0,0,1,0,1,26,0,4,0,1,2,0,Sheffield United FC
21,L. Thomas,0,0,0,0,0,1,0,0,22,1,3,0,3,1,,
22,A. Trusty,0,0,0,0,0,0,0,0,33,0,2,0,0,0,0,Sheffield United FC
23,J. Robinson,0,0,0,1,0,0,0,0,47,0,2,0,2,0,0,Sheffield United FC
24,J. Bogle,0,0,0,1,1,4,1,0,31,1,0,0,1,2,0,Sheffield United FC
25,W. Foderingham,0,0,0,0,0,0,0,0,36,0,0,0,0,0,,
26,B. Osborn,0,0,0,0,0,0,0,0,23,0,1,0,1,1,0,Sheffield United FC
27,A. Ben Slimane,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Sheffield United FC
28,W. Osula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheffield United FC
