,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,R. Yates,0,0,0,0,0,2,1,1,43,0,5,0,4,6,1,Nottingham Forest FC
1,W. Boly,0,0,0,0,0,0,0,0,39,0,0,0,1,0,,
2,C. Wood,0,0,0,0,0,0,0,0,21,0,0,1,2,0,1,Nottingham Forest FC
3,S. Aurier,0,0,0,0,0,1,0,0,69,4,5,0,1,0,,
4,Murillo,0,0,0,0,0,1,1,0,79,0,0,0,0,1,1,Nottingham Forest FC
5,M. Gibbs-White,0,0,0,0,3,3,0,2,51,9,1,0,1,0,1,Nottingham Forest FC
6,H. Toffolo,0,0,0,0,1,0,0,0,49,3,0,0,0,0,1,Nottingham Forest FC
7,A. Elanga,0,0,0,0,0,5,0,3,31,6,1,0,1,1,1,Nottingham Forest FC
8,O. Vlachodimos,0,0,0,0,0,0,0,0,44,0,0,0,0,0,,
9,I. Sangaré,0,0,0,0,0,0,0,0,42,0,4,0,1,2,1,Nottingham Forest FC
10,O. Mangala,0,0,0,0,0,0,0,0,64,0,3,0,1,3,,
11,Felipe,0,0,0,1,0,1,0,0,43,0,2,0,3,0,1,Nottingham Forest FC
12,C. Hudson-Odoi,0,0,0,0,0,0,0,0,16,5,0,0,0,0,1,Nottingham Forest FC
13,D. Origi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Nottingham Forest FC
14,J. Tarkowski,0,0,0,0,0,1,0,0,39,0,1,0,0,1,0,Everton FC
15,J. Pickford,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,Everton FC
16,Beto,0,0,0,0,0,3,0,0,12,0,2,0,2,2,0,Everton FC
17,J. Garner,0,0,0,0,0,1,1,0,45,1,1,0,3,3,0,Everton FC
18,A. Doucouré,0,0,0,0,0,0,0,0,35,0,2,1,2,0,0,Everton FC
19,J. Harrison,0,0,0,0,0,0,0,0,28,4,2,0,1,0,0,Everton FC
20,I. Gueye,0,0,0,0,1,2,0,2,39,2,2,0,2,3,0,Everton FC
21,J. Branthwaite,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,Everton FC
22,D. McNeil,1,0,0,0,1,4,2,1,39,12,2,1,2,3,0,Everton FC
23,V. Mykolenko,0,0,0,0,0,0,0,0,31,3,2,0,1,0,0,Everton FC
24,A. Young,0,0,0,0,1,1,0,1,23,5,1,0,1,3,0,Everton FC
25,Youssef Chermiti,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Everton FC
