,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,C. Ogbene,0,0,0,0,2,1,0,1,24,8,0,1,0,3,,
1,T. Kaminski,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,Luton Town FC
2,J. Brown,0,0,0,0,2,4,1,2,13,1,1,0,1,1,,
3,T. Lockyer,0,0,0,0,0,0,0,0,59,0,2,0,0,1,,
4,I. Kaboré,0,0,0,0,1,1,0,0,31,3,5,0,1,4,1,Luton Town FC
5,A. Sambi Lokonga,0,0,0,0,0,2,1,1,33,4,1,0,2,1,1,Luton Town FC
6,A. Doughty,0,0,0,0,1,3,0,2,40,14,0,0,1,0,1,Luton Town FC
7,M. Nakamba,0,0,0,0,0,1,0,0,50,1,6,0,3,0,,
8,C. Morris,1,0,0,0,1,3,2,0,23,0,0,0,1,0,1,Luton Town FC
9,R. Burke,0,0,0,0,1,1,0,1,49,3,1,0,2,2,1,Luton Town FC
10,A. Bell,0,0,0,0,1,0,0,0,51,3,4,0,1,3,,
11,P. Mpanzu,0,0,0,0,0,2,0,1,24,0,0,0,0,1,1,Luton Town FC
12,C. Woodrow,0,0,0,0,1,2,0,1,4,1,0,0,0,0,1,Luton Town FC
13,R. Giles,0,0,0,0,0,0,0,0,2,6,0,0,0,0,,
14,E. Adebayo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
15,M. Kilman,0,0,0,0,0,1,1,0,53,0,3,0,0,1,0,Wolverhampton Wanderers FC
16,José Sá,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,Wolverhampton Wanderers FC
17,R. Aït-Nouri,0,0,0,0,1,0,0,0,24,0,2,0,2,0,0,Wolverhampton Wanderers FC
18,J. Bellegarde,0,0,1,0,0,0,0,0,12,1,2,0,1,2,,
19,João Gomes,0,0,0,1,0,0,0,0,37,0,1,0,4,4,0,Wolverhampton Wanderers FC
20,M. Lemina,0,0,0,1,0,1,1,0,30,0,0,0,1,1,0,Wolverhampton Wanderers FC
21,Matheus Cunha,0,0,0,0,0,0,0,0,21,0,1,0,1,1,0,Wolverhampton Wanderers FC
22,Hwang Hee-Chan,0,0,0,0,0,0,0,0,15,0,2,1,0,1,0,Wolverhampton Wanderers FC
23,C. Dawson,0,0,0,0,0,0,0,0,32,0,1,0,0,0,,
24,Nélson Semedo,0,0,0,0,0,0,0,0,34,2,0,0,1,1,0,Wolverhampton Wanderers FC
25,Pedro Neto,1,0,0,0,0,1,1,0,19,3,0,0,2,1,,
26,Toti Gomes,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,Wolverhampton Wanderers FC
27,M. Doherty,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,Wolverhampton Wanderers FC
28,B. Traoré,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,Wolverhampton Wanderers FC
29,Hugo Bueno,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Wolverhampton Wanderers FC
30,T. Doyle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Wolverhampton Wanderers FC
