,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. Quansah,0,0,0,1,0,1,0,0,116,0,2,0,1,0,1,Liverpool FC
1,Diogo Jota,1,0,0,0,4,6,3,2,34,1,3,0,3,2,1,Liverpool FC
2,D. Núñez,1,0,0,1,1,5,2,2,22,3,2,1,1,1,1,Liverpool FC
3,C. Kelleher,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,Liverpool FC
4,T. Alexander-Arnold,0,1,0,0,1,1,0,0,45,8,1,0,0,0,1,Liverpool FC
5,V. van Dijk,0,0,0,0,0,1,1,0,103,0,0,0,0,0,1,Liverpool FC
6,W. Endo,0,0,0,1,0,1,0,1,68,0,4,0,4,3,1,Liverpool FC
7,A. Robertson,0,0,0,0,2,1,0,1,66,14,2,0,0,2,1,Liverpool FC
8,L. Díaz,1,0,0,0,0,5,4,1,27,0,1,0,0,2,1,Liverpool FC
9,C. Jones,0,0,0,0,0,1,0,0,73,1,2,0,1,1,1,Liverpool FC
10,A. Mac Allister,0,0,0,0,0,2,0,1,41,3,4,0,0,1,1,Liverpool FC
11,H. Elliott,0,1,0,0,1,1,0,1,34,0,1,0,1,0,1,Liverpool FC
12,C. Gakpo,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,Liverpool FC
13,K. Tsimikas,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,
14,J. McConnell,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
15,B. Clark,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
16,Z. Amdouni,0,0,0,0,0,2,2,0,17,0,0,0,2,1,0,Burnley FC
17,J. Trafford,0,0,0,0,0,0,0,0,49,0,0,0,0,0,,
18,W. Odobert,0,0,0,0,1,2,0,0,15,0,0,0,0,2,0,Burnley FC
19,M. Esteve,0,0,0,0,0,0,0,0,17,0,1,0,0,3,0,Burnley FC
20,D. O'Shea,1,0,0,1,0,1,1,0,27,0,0,0,1,0,0,Burnley FC
21,H. Delcroix,0,0,0,0,0,0,0,0,28,2,2,0,1,0,,
22,J. Brownhill,0,1,0,1,0,0,0,0,31,5,1,1,3,0,0,Burnley FC
23,L. Assignon,0,0,0,0,0,1,0,1,21,0,6,0,4,1,0,Burnley FC
24,A. Ramsey,0,0,0,0,1,1,0,0,18,1,2,0,0,1,,
25,D. Fofana,0,0,0,0,1,2,1,0,10,0,0,1,1,2,0,Burnley FC
26,S. Berge,0,0,0,0,0,0,0,0,32,0,2,0,1,0,0,Burnley FC
27,Vitinho,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,Burnley FC
28,H. Massengo,0,0,0,0,0,0,0,0,5,1,0,0,0,0,,
29,J. Bruun Larsen,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Burnley FC
