,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,A. Iwobi,0,0,0,0,1,1,0,1,42,0,1,0,0,1,1,Fulham FC
1,João Palhinha,0,0,0,1,1,1,0,0,43,0,8,0,1,1,1,Fulham FC
2,T. Castagne,0,0,0,0,2,0,0,0,59,5,0,0,1,0,1,Fulham FC
3,B. De Cordova-Reid,1,0,0,0,3,4,1,2,22,5,2,0,0,1,1,Fulham FC
4,Andreas Pereira,0,1,0,0,0,3,0,0,26,7,1,0,0,0,1,Fulham FC
5,A. Robinson,1,0,0,0,0,1,0,0,68,6,1,0,2,1,1,Fulham FC
6,B. Leno,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,Fulham FC
7,T. Ream,0,0,0,0,0,0,0,0,57,0,6,0,0,1,,
8,I. Diop,0,0,0,0,0,1,1,0,44,0,3,0,2,0,,
9,Willian,1,0,0,0,2,5,3,2,50,5,0,0,1,2,1,Fulham FC
10,Carlos Vinícius,0,0,0,0,0,1,1,0,18,0,0,2,1,1,,
11,C. Bassey,0,0,0,0,0,0,0,0,20,0,1,0,0,0,1,Fulham FC
12,T. Cairney,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,Fulham FC
13,H. Reed,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,Fulham FC
14,Rodrigo Muniz,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,Fulham FC
15,H. Wilson,0,0,0,0,0,1,0,0,11,1,1,0,0,2,1,Fulham FC
16,A. Trusty,0,0,0,0,0,0,0,0,21,0,4,1,1,0,0,Sheffield United FC
17,C. Basham,0,0,0,0,0,0,0,0,11,1,0,0,0,0,,
18,G. Hamer,0,0,0,0,0,1,0,0,20,2,2,0,2,0,0,Sheffield United FC
19,J. Bogle,0,0,0,0,0,1,0,0,28,1,0,0,2,0,0,Sheffield United FC
20,O. Norwood,0,0,0,1,2,1,0,1,67,4,3,0,1,0,0,Sheffield United FC
21,C. Archer,0,0,0,0,1,0,0,0,13,0,1,0,0,2,0,Sheffield United FC
22,Vinicius Souza,0,0,0,0,1,0,0,0,30,1,1,0,0,0,0,Sheffield United FC
23,A. Ahmedhodžić,0,0,0,0,0,0,0,0,31,1,2,0,1,1,0,Sheffield United FC
24,L. Thomas,0,0,0,0,0,0,0,0,18,2,2,0,0,1,,
25,O. McBurnie,0,0,0,1,0,2,2,0,24,0,2,0,2,1,0,Sheffield United FC
26,W. Foderingham,1,0,0,0,0,0,0,0,30,0,0,0,0,1,,
27,J. Robinson,0,0,0,0,0,0,0,0,31,0,2,0,0,0,0,Sheffield United FC
28,Y. Larouci,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,Sheffield United FC
29,J. McAtee,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,Sheffield United FC
30,R. Brewster,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,
