,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,I. Konaté,0,0,0,0,0,0,0,0,42,0,5,0,3,0,1,Liverpool FC
1,W. Endo,0,0,0,1,0,0,0,0,48,1,3,0,2,2,1,Liverpool FC
2,Alisson Becker,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,Liverpool FC
3,D. Szoboszlai,0,0,0,0,1,2,0,1,38,3,4,0,2,0,1,Liverpool FC
4,T. Alexander-Arnold,0,1,0,0,0,1,0,0,57,6,1,0,0,1,1,Liverpool FC
5,Mohamed Salah,1,0,0,1,0,3,2,0,19,2,1,0,1,1,1,Liverpool FC
6,V. van Dijk,0,0,0,0,0,0,0,0,80,0,3,0,2,1,1,Liverpool FC
7,C. Gakpo,0,0,0,0,0,0,0,0,9,1,2,1,0,1,1,Liverpool FC
8,C. Jones,0,0,0,0,0,1,0,1,33,0,1,0,0,2,1,Liverpool FC
9,K. Tsimikas,0,0,0,0,0,0,0,0,8,4,3,0,1,2,,
10,L. Díaz,0,0,0,0,1,2,0,1,13,1,0,0,1,0,1,Liverpool FC
11,J. Gomez,0,0,0,0,1,2,1,0,24,1,6,0,0,0,1,Liverpool FC
12,D. Núñez,0,0,0,0,0,1,0,0,5,0,1,0,0,1,1,Liverpool FC
13,R. Gravenberch,0,0,0,0,0,0,0,0,12,0,2,0,1,1,1,Liverpool FC
14,H. Elliott,0,0,0,0,1,1,0,1,13,0,2,0,0,1,1,Liverpool FC
15,Gabriel Jesus,0,0,0,0,1,4,1,1,14,0,1,0,3,3,0,Arsenal FC
16,David Raya,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,Arsenal FC
17,K. Havertz,0,0,0,1,0,1,0,0,28,1,1,0,1,2,0,Arsenal FC
18,W. Saliba,0,0,0,0,0,0,0,0,45,0,2,0,1,0,0,Arsenal FC
19,M. Ødegaard,0,1,0,0,0,1,0,0,62,1,5,0,1,2,0,Arsenal FC
20,B. Saka,0,0,0,1,2,2,0,2,25,8,1,0,3,2,0,Arsenal FC
21,O. Zinchenko,0,0,0,0,0,2,0,1,60,0,3,0,1,1,0,Arsenal FC
22,Gabriel Martinelli,0,0,0,0,0,1,0,0,14,0,0,1,0,1,0,Arsenal FC
23,Gabriel Magalhães,1,0,0,0,0,1,1,0,32,0,1,0,0,0,0,Arsenal FC
24,B. White,0,0,0,1,0,0,0,0,39,1,2,0,1,0,0,Arsenal FC
25,D. Rice,0,0,0,1,0,1,0,1,73,1,2,0,2,0,0,Arsenal FC
26,L. Trossard,0,0,0,0,2,0,0,0,9,4,0,0,0,0,0,Arsenal FC
27,E. Nketiah,0,0,0,1,0,0,0,0,2,0,2,0,1,2,0,Arsenal FC
