,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Gabriel Martinelli,0,0,0,0,2,4,0,3,38,13,3,0,0,1,1,Arsenal FC
1,Gabriel Magalhães,0,0,0,0,0,1,1,0,49,0,1,0,0,0,1,Arsenal FC
2,D. Rice,0,0,0,0,0,2,1,0,58,1,2,0,1,0,1,Arsenal FC
3,O. Zinchenko,0,0,0,0,1,0,0,0,50,0,1,0,0,1,1,Arsenal FC
4,K. Havertz,1,0,0,0,0,4,1,1,30,0,0,1,2,1,1,Arsenal FC
5,B. Saka,0,0,0,0,1,4,1,1,39,3,1,0,1,4,1,Arsenal FC
6,M. Ødegaard,0,0,0,0,3,5,1,2,59,0,0,0,2,0,1,Arsenal FC
7,Gabriel Jesus,1,0,0,0,2,4,2,2,36,0,0,0,1,1,1,Arsenal FC
8,B. White,0,0,0,1,1,1,1,0,48,1,1,0,2,0,1,Arsenal FC
9,W. Saliba,0,0,0,0,0,0,0,0,65,0,2,0,0,1,1,Arsenal FC
10,David Raya,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,Arsenal FC
11,L. Trossard,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,Arsenal FC
12,E. Nketiah,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,Arsenal FC
13,R. Nelson,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,Arsenal FC
14,E. Smith Rowe,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,Arsenal FC
15,J. Kiwior,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,Arsenal FC
16,E. Ferguson,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,Brighton & Hove Albion FC
17,P. Groß,0,0,0,1,1,1,0,0,61,5,3,1,1,1,0,Brighton & Hove Albion FC
18,B. Gilmour,0,0,0,1,0,0,0,0,65,0,1,0,1,1,,
19,J. van Hecke,0,0,0,0,0,0,0,0,82,0,3,0,0,1,0,Brighton & Hove Albion FC
20,L. Dunk,0,0,0,0,0,1,0,0,108,1,0,0,1,1,0,Brighton & Hove Albion FC
21,B. Verbruggen,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,Brighton & Hove Albion FC
22,J. Milner,0,0,0,0,0,0,0,0,21,1,3,0,1,0,,
23,S. Adingra,0,0,0,0,0,0,0,0,24,2,2,0,2,1,0,Brighton & Hove Albion FC
24,K. Mitoma,0,0,0,1,0,0,0,0,26,1,0,0,2,2,,
25,A. Lallana,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,Brighton & Hove Albion FC
26,J. Veltman,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,Brighton & Hove Albion FC
27,J. Hinshelwood,0,0,0,0,0,2,1,0,33,0,3,0,1,0,,
28,Igor Julio,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,Brighton & Hove Albion FC
29,F. Buonanotte,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Brighton & Hove Albion FC
30,João Pedro,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,Brighton & Hove Albion FC
31,D. Welbeck,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,Brighton & Hove Albion FC
