,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Douglas Luiz,0,0,0,1,0,1,0,1,33,1,3,0,2,1,1,Aston Villa FC
1,B. Kamara,0,0,0,0,0,0,0,0,24,0,1,0,0,0,,
2,E. Konsa,0,0,0,0,0,0,0,0,23,1,2,0,1,1,1,Aston Villa FC
3,L. Bailey,0,1,0,0,1,0,0,0,9,1,2,0,1,0,1,Aston Villa FC
4,Diego Carlos,0,0,0,1,0,0,0,0,38,0,5,0,1,0,1,Aston Villa FC
5,J. McGinn,1,0,0,1,0,2,1,1,16,1,5,0,3,2,1,Aston Villa FC
6,O. Watkins,0,0,0,0,0,3,1,1,12,1,1,1,1,1,1,Aston Villa FC
7,Y. Tielemans,0,0,0,0,0,0,0,0,14,1,2,0,0,2,1,Aston Villa FC
8,Pau Torres,0,0,0,0,1,0,0,0,35,1,1,0,0,0,1,Aston Villa FC
9,L. Digne,0,0,0,1,0,2,1,1,15,1,3,0,4,1,1,Aston Villa FC
10,E. Martínez,0,0,0,0,0,0,0,0,43,0,0,0,0,1,1,Aston Villa FC
11,M. Diaby,0,0,0,0,0,0,0,0,6,1,0,0,1,0,1,Aston Villa FC
12,J. Ramsey,0,0,0,0,1,0,0,0,10,0,1,0,0,0,,
13,L. Dendoncker,0,0,0,0,0,1,0,1,5,0,2,0,1,0,,
14,M. Cash,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,Aston Villa FC
15,Álex Moreno,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,Aston Villa FC
16,Gabriel Jesus,0,0,0,0,1,1,1,0,20,0,3,0,2,0,0,Arsenal FC
17,David Raya,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,Arsenal FC
18,Gabriel Magalhães,0,0,0,0,0,0,0,0,55,1,2,0,0,1,0,Arsenal FC
19,Gabriel Martinelli,0,0,0,0,0,1,1,0,26,2,0,2,0,0,0,Arsenal FC
20,K. Havertz,0,0,0,0,0,1,0,1,19,0,3,0,4,3,0,Arsenal FC
21,O. Zinchenko,0,0,0,1,0,0,0,0,67,0,6,0,1,2,0,Arsenal FC
22,B. White,0,0,0,0,1,0,0,0,42,1,3,1,0,0,0,Arsenal FC
23,D. Rice,0,0,0,1,0,1,0,1,75,1,5,0,3,0,0,Arsenal FC
24,W. Saliba,0,0,0,0,0,1,1,0,71,0,4,0,1,1,0,Arsenal FC
25,M. Ødegaard,0,0,0,0,0,3,1,0,38,1,1,0,0,2,0,Arsenal FC
26,B. Saka,0,0,0,0,1,3,1,1,27,4,3,1,0,5,0,Arsenal FC
27,L. Trossard,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Arsenal FC
28,E. Nketiah,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,Arsenal FC
29,R. Nelson,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Arsenal FC
