,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,C. Palmer,1,0,0,1,1,4,2,0,25,0,0,0,1,1,1,Chelsea FC
1,Thiago Silva,0,0,0,1,0,0,0,0,55,0,3,0,1,0,1,Chelsea FC
2,L. Colwill,0,0,0,0,0,0,0,0,76,0,0,1,0,1,,
3,Marc Cucurella,0,0,0,1,0,0,0,0,41,1,5,0,2,3,1,Chelsea FC
4,C. Gallagher,0,1,0,0,0,1,0,1,36,0,2,1,1,1,1,Chelsea FC
5,M. Mudryk,1,0,0,0,0,2,1,1,15,2,0,0,0,2,1,Chelsea FC
6,E. Fernández,0,0,0,0,0,2,1,0,57,2,1,0,1,0,1,Chelsea FC
7,R. Sterling,0,0,0,0,1,0,0,0,15,2,2,0,0,0,1,Chelsea FC
8,M. Caicedo,0,0,0,0,0,0,0,0,42,0,1,0,1,2,1,Chelsea FC
9,M. Gusto,0,0,0,0,0,1,0,0,35,1,3,0,0,1,1,Chelsea FC
10,Robert Sánchez,0,0,0,0,0,0,0,0,31,0,0,0,0,1,,
11,N. Jackson,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,Chelsea FC
12,N. Madueke,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,Chelsea FC
13,R. James,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,
14,W. Saliba,0,0,0,0,0,0,0,0,98,0,1,0,1,0,0,Arsenal FC
15,David Raya,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,Arsenal FC
16,Jorginho,0,0,0,0,0,1,0,1,65,1,3,0,0,3,0,Arsenal FC
17,Gabriel Magalhães,0,0,0,0,0,2,0,1,78,0,2,0,1,0,0,Arsenal FC
18,O. Zinchenko,0,0,0,1,0,0,0,0,30,0,1,0,1,0,0,Arsenal FC
19,B. White,0,0,0,1,0,0,0,0,54,1,0,0,2,0,0,Arsenal FC
20,Gabriel Jesus,0,0,0,0,1,3,0,2,14,0,1,0,0,1,0,Arsenal FC
21,M. Ødegaard,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,Arsenal FC
22,Gabriel Martinelli,0,0,0,0,4,1,0,1,33,6,1,0,1,0,0,Arsenal FC
23,D. Rice,1,0,0,0,1,1,1,0,52,1,3,1,1,0,0,Arsenal FC
24,B. Saka,0,1,0,0,1,0,0,0,29,5,4,0,3,3,0,Arsenal FC
25,T. Tomiyasu,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,Arsenal FC
26,E. Nketiah,0,0,0,1,0,2,1,0,2,1,2,0,1,0,0,Arsenal FC
27,E. Smith Rowe,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,Arsenal FC
28,K. Havertz,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,Arsenal FC
29,L. Trossard,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,Arsenal FC
