,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,S. Berge,0,0,0,0,0,1,0,1,66,0,2,0,0,1,1,Burnley FC
1,W. Odobert,0,1,0,0,1,4,1,1,29,1,0,0,0,1,1,Burnley FC
2,C. Taylor,0,0,0,1,3,1,0,0,61,7,0,1,1,0,1,Burnley FC
3,J. Bruun Larsen,1,0,0,0,0,3,2,1,41,5,0,1,0,0,1,Burnley FC
4,M. Esteve,0,0,0,0,0,0,0,0,36,0,2,0,2,2,1,Burnley FC
5,A. Murić,0,0,0,0,0,0,0,0,34,0,0,0,0,3,1,Burnley FC
6,D. O'Shea,0,0,0,0,0,0,0,0,42,0,2,0,1,2,1,Burnley FC
7,L. Assignon,0,0,0,0,0,1,0,1,35,4,1,0,3,2,1,Burnley FC
8,Vitinho,0,0,0,0,0,1,0,1,21,1,3,1,2,2,1,Burnley FC
9,J. Cullen,0,0,0,0,0,1,0,1,67,2,0,0,1,3,1,Burnley FC
10,D. Fofana,1,0,0,0,1,3,1,0,12,0,0,1,2,1,1,Burnley FC
11,Z. Amdouni,0,0,0,1,0,2,2,0,8,0,0,0,2,0,1,Burnley FC
12,L. Foster,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,Burnley FC
13,J. Brownhill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Burnley FC
14,M. Jensen,0,0,0,0,0,0,0,0,17,5,8,0,2,1,0,Brentford FC
15,M. Flekken,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,Brentford FC
16,I. Toney,0,0,0,1,1,3,2,0,23,1,1,0,7,4,0,Brentford FC
17,M. Jørgensen,0,0,0,0,1,0,0,0,39,1,0,0,1,0,0,Brentford FC
18,F. Onyeka,0,0,0,0,0,0,0,0,10,1,1,1,1,1,0,Brentford FC
19,N. Collins,0,0,0,0,0,1,0,1,38,0,5,1,0,3,0,Brentford FC
20,V. Janelt,0,0,0,1,0,0,0,0,26,1,0,0,3,0,0,Brentford FC
21,M. Roerslev,0,0,0,0,0,0,0,0,14,1,5,0,0,3,0,Brentford FC
22,Sergio Reguilón,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Brentford FC
23,Y. Wissa,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,Brentford FC
24,K. Ajer,1,0,0,1,1,1,1,0,23,2,4,0,0,0,0,Brentford FC
25,K. Lewis-Potter,0,0,0,0,1,3,1,2,7,1,0,0,0,0,0,Brentford FC
26,Y. Yarmoliuk,0,0,0,0,0,0,0,0,13,2,2,0,0,0,0,Brentford FC
27,S. Baptiste,0,1,0,1,0,0,0,0,3,3,0,0,1,0,,
28,N. Maupay,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,Brentford FC
29,B. Mbeumo,0,0,0,0,0,0,0,0,8,3,0,0,1,1,0,Brentford FC
