,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,N. Collins,0,0,0,0,0,1,0,1,35,0,1,0,0,3,1,Brentford FC
1,M. Roerslev,0,0,0,0,0,0,0,0,19,0,1,0,0,0,1,Brentford FC
2,K. Ajer,0,0,0,0,0,0,0,0,42,0,2,0,1,0,1,Brentford FC
3,B. Mee,0,0,0,0,0,1,0,0,37,0,2,0,0,1,,
4,M. Jensen,0,0,0,0,0,1,0,0,28,1,0,0,0,1,1,Brentford FC
5,Sergio Reguilón,0,0,0,1,0,1,1,0,30,5,2,1,1,1,1,Brentford FC
6,C. Nørgaard,0,0,0,0,0,1,0,0,26,0,0,0,0,0,1,Brentford FC
7,V. Janelt,0,0,0,0,0,1,0,0,31,0,3,0,0,1,1,Brentford FC
8,I. Toney,1,0,0,0,1,8,4,1,20,0,0,0,0,4,1,Brentford FC
9,N. Maupay,0,0,0,0,0,1,1,0,23,1,1,1,0,1,1,Brentford FC
10,M. Flekken,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,Brentford FC
11,Y. Wissa,0,0,0,0,0,0,0,0,8,1,0,1,0,3,1,Brentford FC
12,F. Onyeka,0,0,0,1,0,0,0,0,10,0,1,0,1,2,1,Brentford FC
13,K. Lewis-Potter,0,0,0,0,0,0,0,0,7,0,1,0,1,0,1,Brentford FC
14,M. Damsgaard,0,0,0,0,0,0,0,0,5,2,2,0,0,0,1,Brentford FC
15,S. Ghoddos,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,Brentford FC
16,A. Mac Allister,1,0,0,0,0,1,1,0,60,3,1,0,5,0,0,Liverpool FC
17,I. Konaté,0,0,0,0,0,0,0,0,44,1,0,0,2,0,0,Liverpool FC
18,D. Núñez,1,0,0,0,1,1,1,0,15,0,0,0,0,0,0,Liverpool FC
19,W. Endo,0,0,0,1,1,1,0,0,79,0,1,0,2,2,0,Liverpool FC
20,C. Jones,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,Liverpool FC
21,A. Robertson,0,0,0,0,1,0,0,0,74,9,4,0,0,0,0,Liverpool FC
22,C. Bradley,0,0,0,0,0,2,1,0,62,1,1,0,1,1,0,Liverpool FC
23,C. Kelleher,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,Liverpool FC
24,Diogo Jota,0,1,0,0,1,2,2,0,17,0,1,0,1,0,0,Liverpool FC
25,V. van Dijk,0,0,0,0,0,1,0,0,69,0,0,0,0,0,0,Liverpool FC
26,L. Díaz,0,1,0,0,1,2,0,1,49,2,0,1,4,1,0,Liverpool FC
27,R. Gravenberch,0,0,0,0,1,0,0,0,38,0,3,0,1,0,0,Liverpool FC
28,Mohamed Salah,1,1,0,0,0,2,1,0,22,0,0,0,0,0,0,Liverpool FC
29,C. Gakpo,1,1,0,0,0,2,1,1,16,0,1,1,2,0,0,Liverpool FC
30,J. Gomez,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Liverpool FC
31,H. Elliott,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,Liverpool FC
