,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. van Hecke,0,0,0,0,0,1,0,0,75,0,2,0,1,0,1,Brighton & Hove Albion FC
1,B. Verbruggen,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,Brighton & Hove Albion FC
2,L. Dunk,0,0,0,0,0,0,0,0,105,1,0,0,1,2,1,Brighton & Hove Albion FC
3,D. Welbeck,0,0,0,0,0,0,0,0,18,0,1,1,0,1,1,Brighton & Hove Albion FC
4,J. Moder,0,0,0,0,0,1,0,0,17,0,0,1,0,0,1,Brighton & Hove Albion FC
5,S. Adingra,0,0,0,0,4,2,0,1,32,2,4,0,0,2,1,Brighton & Hove Albion FC
6,C. Baleba,0,0,0,1,0,0,0,0,41,0,1,0,4,1,1,Brighton & Hove Albion FC
7,T. Lamptey,0,0,0,0,0,0,0,0,29,0,5,0,1,0,1,Brighton & Hove Albion FC
8,P. Groß,0,0,0,0,0,0,0,0,75,7,3,0,2,0,1,Brighton & Hove Albion FC
9,J. Enciso,0,0,0,0,3,4,2,0,10,3,1,0,1,1,1,Brighton & Hove Albion FC
10,P. Estupiñán,0,0,0,0,0,1,0,0,55,6,1,0,2,3,1,Brighton & Hove Albion FC
11,João Pedro,0,0,0,0,1,1,0,1,20,0,1,0,0,1,1,Brighton & Hove Albion FC
12,F. Buonanotte,0,0,0,0,0,0,0,0,10,1,0,0,2,0,1,Brighton & Hove Albion FC
13,Ansu Fati,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,Brighton & Hove Albion FC
14,K. Havertz,1,1,0,0,0,2,1,0,22,1,1,1,3,4,0,Arsenal FC
15,David Raya,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,Arsenal FC
16,O. Zinchenko,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,Arsenal FC
17,M. Ødegaard,0,0,0,0,2,2,1,1,50,2,0,0,0,1,0,Arsenal FC
18,Gabriel Magalhães,0,0,0,0,0,5,1,1,56,0,1,0,0,0,0,Arsenal FC
19,B. White,0,0,0,1,1,0,0,0,38,3,1,1,3,1,0,Arsenal FC
20,D. Rice,0,0,0,0,1,1,0,1,31,3,2,0,1,1,0,Arsenal FC
21,W. Saliba,0,0,0,1,0,0,0,0,50,0,1,0,2,0,0,Arsenal FC
22,Gabriel Jesus,0,0,0,0,2,4,1,1,22,1,1,0,0,1,0,Arsenal FC
23,Jorginho,0,1,0,0,0,0,0,0,55,0,1,0,2,1,0,Arsenal FC
24,B. Saka,1,0,0,0,0,3,1,1,28,4,2,0,0,2,0,Arsenal FC
25,L. Trossard,1,0,0,0,1,2,2,0,5,0,0,0,0,1,0,Arsenal FC
26,Gabriel Martinelli,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,Arsenal FC
27,T. Tomiyasu,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,Arsenal FC
28,E. Nketiah,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Arsenal FC
29,Fábio Vieira,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,Arsenal FC
