,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,R. Christie,0,1,0,0,0,4,1,0,53,8,1,1,0,2,1,AFC Bournemouth
1,I. Zabarnyi,0,0,0,0,0,1,1,0,85,0,1,0,1,0,1,AFC Bournemouth
2,A. Semenyo,0,0,0,0,5,6,2,3,28,4,1,0,1,1,1,AFC Bournemouth
3,A. Smith,0,0,0,1,0,1,0,1,46,5,0,0,1,2,1,AFC Bournemouth
4,D. Solanke,0,0,0,0,0,3,1,1,18,0,0,0,3,2,1,AFC Bournemouth
5,J. Kluivert,0,0,0,0,0,2,1,1,17,2,0,0,2,1,1,AFC Bournemouth
6,M. Kerkez,0,0,0,1,0,1,1,0,48,5,1,0,1,0,1,AFC Bournemouth
7,Neto,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,AFC Bournemouth
8,C. Mepham,0,0,0,1,0,0,0,0,93,0,3,0,1,1,1,AFC Bournemouth
9,L. Cook,0,0,0,0,0,1,0,0,61,8,1,0,0,1,1,AFC Bournemouth
10,M. Tavernier,0,0,0,0,1,0,0,0,55,6,2,0,1,1,1,AFC Bournemouth
11,Dango Ouattara,1,1,0,0,1,5,1,2,37,6,0,0,1,0,1,AFC Bournemouth
12,L. Sinisterra,0,0,0,0,3,2,0,1,21,2,1,0,0,0,1,AFC Bournemouth
13,E. Ünal,1,0,0,0,0,3,3,0,8,0,0,0,0,0,1,AFC Bournemouth
14,A. Scott,0,0,0,0,0,1,0,1,14,5,0,0,0,0,1,AFC Bournemouth
15,P. Billing,0,0,0,0,0,2,1,0,20,4,2,0,0,0,1,AFC Bournemouth
16,J. Robinson,1,0,0,0,0,1,1,0,27,0,3,0,0,1,0,Sheffield United FC
17,A. Trusty,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,Sheffield United FC
18,B. Osborn,0,0,0,0,0,0,0,0,19,5,1,0,2,1,0,Sheffield United FC
19,I. Grbić,0,0,0,1,0,0,0,0,41,0,0,0,0,1,0,Sheffield United FC
20,O. McBurnie,0,0,0,1,0,3,2,0,34,0,1,0,1,0,0,Sheffield United FC
21,J. Bogle,0,0,0,0,0,2,2,0,13,0,1,0,0,0,0,Sheffield United FC
22,G. Baldock,0,0,0,0,0,0,0,0,17,0,1,0,0,1,,
23,B. Brereton,0,0,0,1,0,1,1,0,19,2,1,1,2,3,0,Sheffield United FC
24,T. Davies,0,0,0,0,1,1,1,0,18,1,2,0,2,1,,
25,O. Arblaster,0,0,0,0,1,1,1,0,27,0,0,0,1,1,0,Sheffield United FC
26,G. Hamer,1,0,0,1,1,3,1,2,24,5,0,0,3,1,0,Sheffield United FC
27,Vinicius Souza,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,Sheffield United FC
28,J. McAtee,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,Sheffield United FC
29,A. Ahmedhodžić,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,Sheffield United FC
30,W. Osula,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,Sheffield United FC
31,O. Norwood,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,Sheffield United FC
