,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. Robinson,1,0,0,0,0,0,0,0,20,1,0,0,0,0,1,Sheffield United FC
1,W. Foderingham,0,0,0,0,0,0,0,0,32,0,0,0,0,0,,
2,J. McAtee,0,0,0,0,2,0,0,0,13,1,0,0,0,2,1,Sheffield United FC
3,G. Hamer,0,0,0,0,1,1,0,1,22,2,0,0,0,0,1,Sheffield United FC
4,M. Holgate,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Sheffield United FC
5,J. Bogle,0,0,0,0,1,2,1,1,23,2,1,0,0,0,1,Sheffield United FC
6,B. Osborn,0,0,0,0,0,1,0,1,18,2,1,1,0,0,1,Sheffield United FC
7,A. Ahmedhodžić,0,0,0,0,0,1,0,0,14,0,0,0,1,0,1,Sheffield United FC
8,W. Osula,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,Sheffield United FC
9,Y. Larouci,0,0,0,0,0,0,0,0,15,0,1,1,0,0,1,Sheffield United FC
10,Vinicius Souza,0,0,0,0,0,1,0,0,24,0,3,0,1,0,1,Sheffield United FC
11,A. Trusty,0,0,0,0,1,0,0,0,14,0,0,0,0,1,1,Sheffield United FC
12,A. Brooks,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,Sheffield United FC
13,T. Davies,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,
14,O. Norwood,0,0,0,0,0,0,0,0,12,1,2,0,0,0,1,Sheffield United FC
15,R. Brewster,0,0,0,0,0,0,0,0,4,0,0,0,0,1,,
16,B. Gilmour,0,0,0,1,0,2,0,1,124,0,1,0,1,0,,
17,L. Dunk,0,1,0,0,1,2,1,1,164,1,0,0,0,0,0,Brighton & Hove Albion FC
18,A. Webster,0,0,0,0,0,0,0,0,48,0,0,0,0,0,,
19,J. van Hecke,0,0,0,0,0,1,0,1,143,0,3,0,0,0,0,Brighton & Hove Albion FC
20,K. Mitoma,0,0,0,0,4,2,1,1,45,7,1,0,0,1,,
21,D. Welbeck,1,0,0,0,0,2,2,0,30,0,1,1,1,0,0,Brighton & Hove Albion FC
22,B. Verbruggen,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,Brighton & Hove Albion FC
23,S. Adingra,2,0,0,0,2,6,3,1,26,9,1,0,1,0,0,Brighton & Hove Albion FC
24,P. Groß,0,1,0,0,1,3,1,1,119,19,1,0,0,0,0,Brighton & Hove Albion FC
25,F. Buonanotte,1,0,0,1,0,1,1,0,22,0,4,0,1,1,0,Brighton & Hove Albion FC
26,T. Lamptey,0,0,0,1,0,1,0,1,27,1,1,0,1,0,0,Brighton & Hove Albion FC
27,Igor Julio,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,Brighton & Hove Albion FC
28,J. Moder,0,0,0,0,1,2,0,1,22,1,1,0,0,1,0,Brighton & Hove Albion FC
29,E. Ferguson,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,Brighton & Hove Albion FC
30,Ansu Fati,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,Brighton & Hove Albion FC
31,P. Estupiñán,0,0,0,0,1,0,0,0,12,2,0,1,0,0,0,Brighton & Hove Albion FC
