,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,M. Diaby,1,0,0,0,0,6,2,0,21,0,1,0,2,1,1,Aston Villa FC
1,Douglas Luiz,1,0,0,0,0,4,2,1,44,4,2,0,1,2,1,Aston Villa FC
2,J. McGinn,0,0,0,1,0,2,1,1,32,3,3,0,3,1,1,Aston Villa FC
3,E. Konsa,0,0,0,1,0,0,0,0,71,1,1,0,0,1,1,Aston Villa FC
4,Diego Carlos,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1,Aston Villa FC
5,C. Lenglet,0,0,0,0,0,0,0,0,45,0,0,0,0,1,1,Aston Villa FC
6,L. Bailey,1,0,0,0,2,3,1,2,31,4,0,0,0,0,1,Aston Villa FC
7,E. Martínez,0,0,0,1,0,0,0,0,30,0,0,0,0,0,1,Aston Villa FC
8,O. Watkins,0,2,0,0,1,2,1,0,18,0,0,0,1,1,1,Aston Villa FC
9,J. Ramsey,0,0,0,1,2,2,0,1,22,1,1,0,0,2,,
10,Álex Moreno,0,0,0,0,1,0,0,0,30,4,1,0,1,3,1,Aston Villa FC
11,Pau Torres,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,Aston Villa FC
12,J. Durán,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,Aston Villa FC
13,L. Dendoncker,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
14,C. Taylor,0,0,0,1,0,0,0,0,24,0,4,0,1,2,0,Burnley FC
15,J. Trafford,0,0,0,0,0,0,0,0,40,0,0,0,0,0,,
16,J. Guðmunds­son,0,1,0,0,0,0,0,0,18,4,1,1,2,0,0,Burnley FC
17,S. Berge,0,0,1,2,0,0,0,0,19,0,1,0,1,1,0,Burnley FC
18,L. Foster,1,0,0,0,1,3,2,0,11,0,2,2,4,1,0,Burnley FC
19,Vitinho,0,0,0,0,0,0,0,0,17,2,2,0,1,1,0,Burnley FC
20,D. O'Shea,0,1,0,0,0,1,0,1,26,0,0,0,1,0,0,Burnley FC
21,J. Beyer,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
22,W. Odobert,0,0,0,0,1,1,0,0,10,0,0,1,1,1,0,Burnley FC
23,J. Brownhill,0,0,0,0,0,2,1,0,29,1,2,0,0,1,0,Burnley FC
24,Z. Amdouni,1,0,0,0,0,2,2,0,11,1,1,0,2,0,0,Burnley FC
25,H. Delcroix,0,0,0,0,0,0,0,0,19,1,0,0,0,0,,
26,A. Ramsey,0,0,0,0,0,0,0,0,5,0,1,0,1,0,,
27,M. Trésor,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,Burnley FC
28,C. Roberts,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,
