,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,A. Onana,0,0,0,0,0,3,1,0,86,0,3,1,2,2,,Manchester United FC
1,A. Doucouré,0,0,0,0,0,1,1,0,39,2,0,0,0,0,1,Everton FC
2,V. Mykolenko,0,0,0,0,0,0,0,0,71,5,8,0,0,0,1,Everton FC
3,I. Gueye,0,0,0,0,0,1,0,0,43,0,2,0,0,3,1,Everton FC
4,D. McNeil,0,0,0,0,2,3,0,2,40,8,2,0,0,2,1,Everton FC
5,J. Branthwaite,0,0,0,0,0,0,0,0,54,0,4,0,3,0,1,Everton FC
6,D. Calvert-Lewin,1,0,0,0,1,6,2,1,22,0,0,0,0,0,1,Everton FC
7,J. Tarkowski,0,0,0,0,0,0,0,0,67,0,1,0,1,0,1,Everton FC
8,J. Pickford,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,Everton FC
9,A. Young,0,0,0,0,0,1,0,1,38,4,1,0,0,0,1,Everton FC
10,J. Garner,0,0,0,0,0,4,1,0,41,5,0,0,0,1,1,Everton FC
11,J. Harrison,0,0,0,0,0,0,0,0,9,6,2,0,2,1,1,Everton FC
12,Beto,0,0,0,0,0,4,0,0,4,0,0,1,0,0,1,Everton FC
13,N. Patterson,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,Everton FC
14,A. Danjuma,0,0,0,0,0,0,0,0,5,1,0,0,0,0,,
15,C. Ogbene,0,0,0,0,2,1,0,1,15,1,2,0,0,2,,
16,T. Kaminski,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,Luton Town FC
17,C. Morris,1,0,0,0,1,3,1,1,17,0,0,1,3,2,0,Luton Town FC
18,J. Brown,0,0,0,0,0,1,0,1,34,0,0,1,0,1,,
19,I. Kaboré,0,0,0,1,0,0,0,0,28,1,5,0,1,0,0,Luton Town FC
20,M. Nakamba,0,0,0,0,0,1,0,0,31,0,6,0,2,1,,
21,R. Burke,0,0,0,0,0,0,0,0,15,0,1,0,1,0,0,Luton Town FC
22,T. Lockyer,1,0,0,0,0,2,1,0,14,0,0,0,0,0,,
23,P. Mpanzu,0,0,0,0,0,0,0,0,22,0,2,0,1,1,0,Luton Town FC
24,A. Bell,0,0,0,0,1,0,0,0,16,0,3,0,0,0,,
25,A. Doughty,0,1,0,0,2,0,0,0,20,10,1,1,1,0,0,Luton Town FC
26,M. Andersen,0,0,0,0,0,1,0,0,17,0,0,0,0,1,,
27,T. Mengi,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,Luton Town FC
28,C. Woodrow,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,Luton Town FC
29,E. Adebayo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
