,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Y. Larouci,0,0,0,0,0,2,1,0,23,0,1,0,2,1,1,Sheffield United FC
1,O. Norwood,0,0,0,0,0,1,0,0,60,4,2,0,0,1,1,Sheffield United FC
2,G. Hamer,0,0,0,0,1,2,2,0,36,5,2,0,1,1,1,Sheffield United FC
3,J. Egan,0,0,0,0,0,1,1,0,40,0,3,0,1,0,,
4,A. Ahmedhodžić,0,0,0,1,0,0,0,0,37,0,2,0,3,0,1,Sheffield United FC
5,C. Archer,1,0,0,0,0,2,1,0,6,0,0,0,1,1,1,Sheffield United FC
6,J. Robinson,0,0,0,0,1,2,0,1,44,1,1,0,0,0,1,Sheffield United FC
7,O. McBurnie,0,1,0,0,1,2,2,0,22,0,1,1,0,4,1,Sheffield United FC
8,G. Baldock,0,0,0,0,1,0,0,0,28,4,1,0,2,2,,
9,Vinicius Souza,0,0,0,0,0,0,0,0,36,0,2,0,0,2,1,Sheffield United FC
10,W. Foderingham,0,0,0,0,0,0,0,0,28,0,0,0,0,0,,
11,C. Basham,0,0,0,0,0,0,0,0,13,0,0,0,1,1,,
12,L. Thomas,0,0,0,0,0,1,1,0,8,0,1,0,0,0,,
13,B. Traoré,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,Wolverhampton Wanderers FC
14,A. Doucouré,1,0,0,1,0,4,3,1,46,1,1,1,2,0,0,Everton FC
15,J. Tarkowski,0,0,0,0,0,0,0,0,53,0,3,0,0,0,0,Everton FC
16,N. Patterson,0,1,0,0,0,0,0,0,57,4,1,0,1,0,0,Everton FC
17,J. Garner,0,0,0,0,0,0,0,0,13,4,2,0,1,1,0,Everton FC
18,A. Danjuma,1,0,0,0,1,5,2,2,26,1,1,1,1,2,,
19,I. Gueye,0,0,0,0,0,0,0,0,57,0,3,0,1,2,0,Everton FC
20,A. Young,0,0,0,0,1,1,1,0,60,9,4,0,1,3,0,Everton FC
21,Beto,0,0,0,0,3,4,0,2,16,3,3,0,0,0,0,Everton FC
22,J. Branthwaite,0,0,0,1,0,0,0,0,47,0,3,0,2,0,0,Everton FC
23,A. Onana,0,0,0,0,1,1,0,1,44,2,2,0,2,3,,Manchester United FC
24,J. Pickford,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,Everton FC
25,D. McNeil,0,0,0,0,0,1,0,1,8,0,0,0,1,0,0,Everton FC
26,B. Godfrey,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,Everton FC
