,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,R. Christie,0,0,0,0,0,1,1,0,23,4,1,1,2,0,1,AFC Bournemouth
1,J. Rothwell,0,0,0,0,0,0,0,0,19,1,0,0,1,0,,
2,P. Billing,0,0,0,0,2,3,1,1,26,2,2,0,2,1,1,AFC Bournemouth
3,M. Aarons,0,0,0,0,1,0,0,0,44,1,1,0,1,2,1,AFC Bournemouth
4,I. Zabarnyi,0,0,0,0,0,0,0,0,53,0,2,0,1,2,1,AFC Bournemouth
5,L. Kelly,0,0,0,1,0,0,0,0,47,0,2,0,1,0,1,AFC Bournemouth
6,M. Kerkez,0,0,0,0,3,0,0,0,33,5,2,0,0,2,1,AFC Bournemouth
7,J. Kluivert,0,0,0,0,0,1,0,1,17,2,1,1,3,1,1,AFC Bournemouth
8,Neto,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,AFC Bournemouth
9,D. Solanke,0,0,0,0,0,1,0,0,11,0,0,1,0,0,1,AFC Bournemouth
10,A. Semenyo,0,0,0,0,0,2,0,1,15,1,3,0,5,2,1,AFC Bournemouth
11,L. Cook,0,0,0,0,0,1,0,0,25,2,2,0,0,0,1,AFC Bournemouth
12,H. Traorè,0,0,0,0,0,0,0,0,11,2,0,0,0,0,,
13,J. Anthony,0,0,0,0,0,2,1,0,15,2,0,0,1,1,,
14,D. Brooks,0,0,0,0,0,0,0,0,12,0,1,0,1,0,,
15,K. Moore,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,
16,Y. Bissouma,0,0,0,1,0,1,1,0,38,0,4,0,1,1,0,Tottenham Hotspur FC
17,D. Udogie,0,1,0,0,1,0,0,0,36,0,0,0,4,3,0,Tottenham Hotspur FC
18,M. van de Ven,0,0,0,0,0,0,0,0,73,0,2,0,0,0,0,Tottenham Hotspur FC
19,G. Vicario,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,Tottenham Hotspur FC
20,J. Maddison,1,0,0,0,0,4,2,1,32,5,0,0,0,5,0,Tottenham Hotspur FC
21,Richarlison,0,0,0,1,0,2,1,0,13,0,0,0,1,1,0,Tottenham Hotspur FC
22,Pedro Porro,0,0,0,0,0,3,0,2,54,0,3,0,1,1,0,Tottenham Hotspur FC
23,P. Sarr,0,1,0,0,0,1,1,0,27,0,2,0,2,0,0,Tottenham Hotspur FC
24,C. Romero,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,Tottenham Hotspur FC
25,Son Heung-Min,0,0,0,0,0,2,0,0,39,2,0,0,0,2,0,Tottenham Hotspur FC
26,D. Kulusevski,1,0,0,0,1,2,1,1,26,1,2,0,1,1,0,Tottenham Hotspur FC
27,I. Perišić,0,0,0,1,0,1,0,0,20,2,2,0,1,0,,
28,P. Højbjerg,0,0,0,0,0,0,0,0,43,0,1,0,0,1,0,Tottenham Hotspur FC
29,O. Skipp,0,0,0,0,0,0,0,0,21,0,1,0,0,0,,
30,G. Lo Celso,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,Tottenham Hotspur FC
31,B. Davies,0,0,0,0,0,1,0,0,12,0,0,0,0,0,,
