,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,D. Burn,0,1,0,0,0,0,0,0,26,0,2,0,3,0,1,Newcastle United FC
1,S. Botman,0,0,0,0,0,0,0,0,34,0,1,0,0,0,,
2,F. Schär,0,0,0,0,0,1,1,0,37,0,1,0,0,2,1,Newcastle United FC
3,L. Miley,0,0,0,0,0,0,0,0,24,1,2,1,0,0,,
4,K. Trippier,0,0,0,0,0,0,0,0,37,5,6,1,0,0,,
5,M. Almirón,0,0,0,0,0,1,0,0,19,1,4,3,1,0,1,Newcastle United FC
6,A. Gordon,1,0,0,0,1,3,1,2,13,1,2,1,0,1,1,Newcastle United FC
7,Bruno Guimarães,0,1,0,1,0,2,0,1,35,0,5,0,1,3,1,Newcastle United FC
8,S. Longstaff,0,0,0,0,0,0,0,0,13,0,0,0,1,1,1,Newcastle United FC
9,M. Dúbravka,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,Newcastle United FC
10,A. Isak,1,0,0,0,2,5,3,2,10,0,0,2,1,0,1,Newcastle United FC
11,L. Hall,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,Newcastle United FC
12,J. Álvarez,0,0,0,0,1,6,3,2,35,5,1,0,0,0,0,Manchester City FC
13,Ederson,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Manchester City FC
14,J. Gvardiol,0,0,0,0,0,2,0,1,49,0,2,0,1,0,0,Manchester City FC
15,Rodri,0,1,0,1,3,1,1,0,144,1,1,0,2,3,0,Manchester City FC
16,N. Aké,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,Manchester City FC
17,Rúben Dias,0,0,0,0,0,0,0,0,78,0,1,0,0,1,0,Manchester City FC
18,Bernardo Silva,1,0,0,1,0,3,2,0,89,1,1,0,1,0,0,Manchester City FC
19,M. Kovačić,0,0,0,0,0,2,1,1,91,0,0,0,0,1,0,Manchester City FC
20,K. Walker,0,1,0,0,1,1,0,0,65,3,1,1,1,0,,
21,J. Doku,0,0,0,0,5,3,0,3,28,1,2,0,0,0,0,Manchester City FC
22,P. Foden,0,0,0,0,1,6,2,1,57,0,1,0,0,1,0,Manchester City FC
23,S. Ortega,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,Manchester City FC
24,K. De Bruyne,1,1,0,0,2,2,1,1,22,9,0,0,2,0,0,Manchester City FC
25,O. Bobb,1,0,0,0,0,1,1,0,6,0,1,0,0,1,0,Manchester City FC
