,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,S. McTominay,0,0,0,0,1,2,2,0,28,0,4,1,0,0,1,Manchester United FC
1,C. Eriksen,0,0,0,0,2,1,0,1,45,6,0,0,0,0,,
2,J. Evans,0,0,0,0,0,0,0,0,63,0,0,0,2,0,1,Manchester United FC
3,V. Lindelöf,0,0,0,0,0,0,0,0,34,1,0,1,0,0,1,Manchester United FC
4,A. Onana,0,0,0,1,0,0,0,0,42,0,0,0,0,0,1,Manchester United FC
5,H. Maguire,0,0,0,0,0,1,0,0,54,0,1,0,0,1,1,Manchester United FC
6,Bruno Fernandes,0,0,0,1,0,2,1,0,31,5,3,1,3,1,1,Manchester United FC
7,Diogo Dalot,0,0,0,0,0,0,0,0,31,3,2,0,0,0,1,Manchester United FC
8,R. Højlund,0,0,0,0,0,0,0,0,16,0,1,1,1,1,1,Manchester United FC
9,M. Rashford,0,0,0,0,3,1,0,0,16,1,0,0,0,0,1,Manchester United FC
10,S. Amrabat,0,0,0,1,0,0,0,0,12,0,2,0,2,1,1,Manchester United FC
11,M. Mount,0,0,0,0,0,0,0,0,9,0,1,0,0,1,1,Manchester United FC
12,Sergio Reguilón,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,Brentford FC
13,A. Garnacho,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,Manchester United FC
14,Antony,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Manchester United FC
15,Anthony Jordan Martial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,J. Gvardiol,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,Manchester City FC
17,Rúben Dias,0,0,0,0,0,0,0,0,80,0,0,0,2,0,0,Manchester City FC
18,Ederson,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,Manchester City FC
19,K. Walker,0,0,0,0,2,0,0,0,77,0,3,0,1,0,,
20,Rodri,0,0,0,0,0,2,1,0,90,0,3,0,0,2,0,Manchester City FC
21,J. Stones,0,0,0,0,0,0,0,0,51,0,1,0,1,0,0,Manchester City FC
22,Bernardo Silva,0,1,0,0,0,1,1,0,59,3,2,0,0,1,0,Manchester City FC
23,P. Foden,1,0,0,1,1,4,2,0,52,0,2,0,1,1,0,Manchester City FC
24,J. Grealish,0,0,0,0,3,5,1,2,34,1,1,0,0,2,0,Manchester City FC
25,J. Álvarez,0,0,0,0,4,3,1,1,41,13,0,0,0,0,0,Manchester City FC
26,E. Haaland,2,1,0,0,1,5,4,1,10,0,0,0,0,2,0,Manchester City FC
27,M. Kovačić,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,Manchester City FC
28,J. Doku,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,Manchester City FC
