,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Thiago Silva,0,0,0,0,0,2,0,1,85,0,0,0,0,0,1,Chelsea FC
1,A. Disasi,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1,Chelsea FC
2,N. Jackson,0,0,0,0,1,3,0,1,29,0,0,0,2,1,1,Chelsea FC
3,N. Madueke,0,0,0,0,1,3,0,2,34,2,0,0,2,0,1,Chelsea FC
4,C. Palmer,0,0,0,0,1,2,0,0,86,4,1,0,0,0,1,Chelsea FC
5,M. Caicedo,0,0,0,1,0,0,0,0,87,0,1,0,3,2,1,Chelsea FC
6,Marc Cucurella,0,0,0,0,1,2,1,1,65,3,2,0,0,1,1,Chelsea FC
7,R. Sterling,0,0,0,0,1,2,0,1,47,4,0,0,0,1,1,Chelsea FC
8,C. Gallagher,0,0,0,0,1,1,1,0,84,6,1,0,3,1,1,Chelsea FC
9,L. Colwill,0,0,0,0,0,0,0,0,69,0,2,0,0,1,,
10,Robert Sánchez,0,0,0,0,0,0,0,0,23,0,0,0,0,0,,
11,R. James,0,0,0,0,3,1,0,1,23,3,1,0,1,0,,
12,I. Maatsen,0,0,0,0,0,0,0,0,23,1,1,0,1,0,,
13,L. Ugochukwu,0,0,0,0,0,0,0,0,9,0,1,0,0,0,,
14,Deivid Washington,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,Chelsea FC
15,C. Nørgaard,0,0,0,1,0,0,0,0,40,0,2,0,0,3,0,Brentford FC
16,V. Janelt,0,0,0,0,0,1,1,0,23,0,2,0,0,1,0,Brentford FC
17,E. Pinnock,1,0,0,0,0,1,1,0,33,0,2,0,0,0,0,Brentford FC
18,M. Flekken,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,Brentford FC
19,N. Collins,0,0,0,0,0,0,0,0,48,0,2,0,0,2,0,Brentford FC
20,B. Mbeumo,1,1,0,0,1,4,2,1,22,2,1,0,1,0,0,Brentford FC
21,M. Jensen,0,0,0,0,0,0,0,0,18,0,2,0,1,1,0,Brentford FC
22,K. Ajer,0,0,0,0,0,0,0,0,29,0,2,0,0,1,0,Brentford FC
23,A. Hickey,0,0,0,0,0,0,0,0,20,0,2,0,0,3,,
24,Y. Wissa,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,Brentford FC
25,M. Roerslev,0,0,0,0,0,0,0,0,32,3,1,0,0,0,0,Brentford FC
26,N. Maupay,0,1,0,1,0,0,0,0,8,1,0,0,0,0,0,Brentford FC
27,F. Onyeka,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,Brentford FC
28,Y. Yarmoliuk,0,0,0,0,0,1,1,0,6,0,0,0,1,1,0,Brentford FC
29,S. Ghoddos,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Brentford FC
