,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Danilo,0,0,0,0,0,1,0,0,23,0,0,0,1,0,1,Nottingham Forest FC
1,Murillo,0,0,0,0,0,0,0,0,65,0,4,0,3,0,1,Nottingham Forest FC
2,M. Niakhaté,0,0,0,1,0,3,0,1,70,0,1,0,0,0,1,Nottingham Forest FC
3,O. Mangala,0,0,0,0,1,0,0,0,45,1,0,0,0,1,,
4,M. Gibbs-White,1,1,0,0,2,7,1,5,37,8,1,0,0,2,1,Nottingham Forest FC
5,A. Elanga,1,0,0,0,1,1,1,0,33,4,0,0,1,1,1,Nottingham Forest FC
6,O. Aina,0,0,0,0,1,1,0,0,42,3,1,0,3,1,1,Nottingham Forest FC
7,O. Vlachodimos,0,0,0,0,0,0,0,0,27,0,0,0,0,0,,
8,N. Domínguez,0,0,0,0,0,0,0,0,33,1,2,0,0,0,1,Nottingham Forest FC
9,H. Toffolo,0,0,0,1,0,1,1,0,38,8,3,0,1,0,1,Nottingham Forest FC
10,C. Wood,0,0,0,0,0,1,1,0,15,0,0,0,2,0,1,Nottingham Forest FC
11,C. Hudson-Odoi,0,0,0,0,0,0,0,0,16,5,0,0,0,1,1,Nottingham Forest FC
12,D. Origi,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,Nottingham Forest FC
13,R. Yates,0,0,0,0,1,3,1,2,6,0,1,0,1,0,1,Nottingham Forest FC
14,N. Williams,0,0,0,0,0,0,0,0,13,5,0,0,0,0,1,Nottingham Forest FC
15,L. Dunk,0,0,1,1,0,2,0,1,99,0,0,0,0,0,0,Brighton & Hove Albion FC
16,B. Verbruggen,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,Brighton & Hove Albion FC
17,T. Lamptey,0,0,0,0,0,0,0,0,18,4,0,0,1,1,0,Brighton & Hove Albion FC
18,P. Groß,0,2,0,1,1,0,0,0,72,9,2,0,0,0,0,Brighton & Hove Albion FC
19,J. Veltman,0,0,0,0,0,0,0,0,54,1,0,0,0,2,0,Brighton & Hove Albion FC
20,J. van Hecke,0,0,0,0,0,1,1,0,80,0,0,0,0,1,0,Brighton & Hove Albion FC
21,Ansu Fati,0,0,0,0,1,1,0,1,7,0,0,0,0,0,0,Brighton & Hove Albion FC
22,B. Gilmour,0,0,0,0,0,3,1,0,58,0,1,0,1,1,,
23,S. Adingra,0,0,0,1,1,0,0,0,36,1,1,0,1,0,0,Brighton & Hove Albion FC
24,A. Lallana,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,Brighton & Hove Albion FC
25,E. Ferguson,1,0,0,1,0,1,1,0,17,0,2,0,0,1,0,Brighton & Hove Albion FC
26,João Pedro,2,0,0,0,0,2,2,0,20,1,3,0,0,3,0,Brighton & Hove Albion FC
27,J. Hinshelwood,0,0,0,0,0,0,0,0,17,0,1,0,1,1,,
28,F. Buonanotte,0,0,0,1,0,0,0,0,8,0,2,0,0,2,0,Brighton & Hove Albion FC
29,C. Baleba,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,Brighton & Hove Albion FC
30,J. Moder,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,Brighton & Hove Albion FC
