,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,G. Vicario,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,Tottenham Hotspur FC
1,C. Romero,0,0,0,0,0,1,0,0,76,0,1,0,0,0,1,Tottenham Hotspur FC
2,M. van de Ven,0,0,0,0,0,0,0,0,60,0,1,0,0,0,1,Tottenham Hotspur FC
3,Y. Bissouma,0,0,0,0,0,2,0,0,51,0,5,0,2,3,1,Tottenham Hotspur FC
4,P. Sarr,1,0,0,0,1,5,2,1,36,0,2,0,0,1,1,Tottenham Hotspur FC
5,Pedro Porro,0,0,0,0,0,1,0,0,43,2,1,0,2,0,1,Tottenham Hotspur FC
6,D. Kulusevski,0,0,0,0,2,2,2,0,19,1,0,0,0,0,1,Tottenham Hotspur FC
7,Son Heung-Min,0,0,0,0,2,1,0,1,38,3,1,0,0,2,1,Tottenham Hotspur FC
8,D. Udogie,0,0,0,1,0,1,1,0,24,0,1,1,3,0,1,Tottenham Hotspur FC
9,J. Maddison,0,0,0,0,0,2,1,1,44,8,2,0,0,1,1,Tottenham Hotspur FC
10,Richarlison,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,Tottenham Hotspur FC
11,B. Davies,0,0,0,0,0,2,0,1,11,0,1,0,0,1,,
12,I. Perišić,0,0,0,0,0,0,0,0,10,1,0,0,1,0,,
13,P. Højbjerg,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,Tottenham Hotspur FC
14,Emerson Royal,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,Tottenham Hotspur FC
15,M. Solomon,0,0,0,0,0,0,0,0,6,1,0,0,0,0,,
16,Bruno Fernandes,0,0,0,1,0,6,1,3,49,5,1,1,1,1,0,Manchester United FC
17,R. Varane,0,0,0,0,1,2,1,0,44,0,1,1,0,0,0,Manchester United FC
18,L. Shaw,0,0,0,0,0,0,0,0,41,5,1,0,0,0,,
19,Casemiro,0,0,0,0,2,5,2,3,36,0,3,1,2,1,0,Manchester United FC
20,M. Mount,0,0,0,0,0,0,0,0,18,2,1,0,1,0,0,Manchester United FC
21,A. Garnacho,0,0,0,0,2,3,1,2,16,0,0,0,0,2,0,Manchester United FC
22,Antony,0,0,0,1,0,3,0,0,19,0,6,0,1,1,0,Manchester United FC
23,A. Wan-Bissaka,0,0,0,1,0,0,0,0,38,0,0,0,2,0,0,Manchester United FC
24,Lisandro Martínez,1,0,0,0,0,0,0,0,38,0,3,0,0,1,0,Manchester United FC
25,M. Rashford,0,0,0,0,1,3,1,1,16,0,0,1,0,1,0,Manchester United FC
26,A. Onana,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,Manchester United FC
27,J. Sancho,0,0,0,0,0,0,0,0,14,0,1,0,0,0,,
28,Diogo Dalot,0,0,0,0,0,0,0,0,16,2,2,0,0,1,0,Manchester United FC
29,C. Eriksen,0,0,0,0,0,0,0,0,17,0,2,0,0,0,,
30,A. Martial,0,0,0,0,0,0,0,0,6,0,1,0,0,0,,
31,F. Pellistri,0,0,0,0,0,0,0,0,5,0,0,0,1,1,,
