,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. Gvardiol,0,0,0,0,0,0,0,0,74,0,4,0,1,1,1,Manchester City FC
1,J. Álvarez,0,0,0,0,1,7,3,2,23,2,1,0,0,1,1,Manchester City FC
2,M. Akanji,0,0,0,0,0,0,0,0,76,0,3,0,1,1,1,Manchester City FC
3,P. Foden,3,0,0,0,0,4,3,1,54,1,2,0,0,1,1,Manchester City FC
4,Bernardo Silva,0,0,0,0,1,1,1,0,38,1,2,1,2,0,1,Manchester City FC
5,Rodri,1,1,0,0,0,3,2,1,102,0,2,0,0,1,1,Manchester City FC
6,R. Lewis,0,0,0,0,0,1,0,0,71,1,3,0,1,2,1,Manchester City FC
7,J. Grealish,0,0,0,1,0,3,0,2,53,1,1,0,1,5,1,Manchester City FC
8,Rúben Dias,0,0,0,0,0,0,0,0,102,0,5,0,0,0,1,Manchester City FC
9,J. Doku,0,1,0,0,0,3,2,1,42,3,1,0,0,1,1,Manchester City FC
10,S. Ortega,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,Manchester City FC
11,M. Kovačić,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,Manchester City FC
12,Matheus Nunes,0,0,0,0,0,1,0,0,7,0,1,0,0,0,1,Manchester City FC
13,Sergio Gómez,0,0,0,0,0,1,0,0,8,0,1,0,0,0,1,Manchester City FC
14,O. Bobb,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,Manchester City FC
15,M. Rogers,0,1,0,0,0,0,0,0,24,1,2,0,1,0,0,Aston Villa FC
16,T. Iroegbunam,0,0,0,0,0,0,0,0,14,0,3,0,1,0,0,Aston Villa FC
17,Douglas Luiz,0,0,0,1,1,1,1,0,25,2,1,0,3,1,0,Aston Villa FC
18,E. Konsa,0,0,0,0,0,0,0,0,30,1,1,0,0,3,0,Aston Villa FC
19,C. Lenglet,0,0,0,0,0,2,1,0,46,0,3,0,0,0,0,Aston Villa FC
20,Diego Carlos,0,0,0,0,0,1,0,1,42,0,4,0,1,0,0,Aston Villa FC
21,M. Diaby,0,0,0,0,0,1,0,1,12,1,1,0,1,1,0,Aston Villa FC
22,N. Zaniolo,0,0,0,0,1,1,0,1,13,2,3,0,0,0,0,Aston Villa FC
23,L. Digne,0,0,0,0,0,0,0,0,23,3,2,0,1,0,0,Aston Villa FC
24,R. Olsen,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,Aston Villa FC
25,J. Durán,1,0,0,0,0,1,1,0,14,0,0,1,1,0,0,Aston Villa FC
26,Y. Tielemans,0,0,0,0,0,0,0,0,19,1,0,0,2,1,0,Aston Villa FC
27,L. Bailey,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,Aston Villa FC
28,C. Chambers,0,0,0,1,0,0,0,0,19,0,0,0,1,0,0,Aston Villa FC
29,Álex Moreno,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,Aston Villa FC
30,O. Kellyman,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,Aston Villa FC
