,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,L. Dunk,0,0,0,0,0,0,0,0,126,0,1,0,2,0,1,Brighton & Hove Albion FC
1,J. Milner,0,0,0,0,0,0,0,0,49,2,2,0,0,0,,
2,J. Steele,0,0,0,0,0,0,0,0,39,0,0,0,0,0,,
3,B. Gilmour,0,0,0,0,0,1,0,1,118,2,0,0,0,2,,
4,D. Welbeck,0,0,0,0,1,2,0,1,11,0,0,2,1,0,1,Brighton & Hove Albion FC
5,F. Buonanotte,0,0,0,0,0,1,1,0,24,0,1,0,3,2,1,Brighton & Hove Albion FC
6,P. Groß,0,0,0,0,1,0,0,0,98,8,1,0,1,0,1,Brighton & Hove Albion FC
7,J. van Hecke,0,0,0,0,1,2,1,1,96,0,5,0,0,0,1,Brighton & Hove Albion FC
8,P. Estupiñán,0,0,0,0,2,0,0,0,74,11,1,0,1,2,1,Brighton & Hove Albion FC
9,João Pedro,0,0,0,0,0,4,2,2,53,3,1,0,0,6,1,Brighton & Hove Albion FC
10,J. Hinshelwood,0,0,0,0,2,0,0,0,43,3,0,1,0,0,,
11,E. Ferguson,0,0,0,0,1,1,0,1,8,0,0,0,1,1,1,Brighton & Hove Albion FC
12,T. Lamptey,0,0,0,0,0,0,0,0,13,2,0,0,0,0,1,Brighton & Hove Albion FC
13,A. Webster,0,0,0,1,0,0,0,0,24,1,0,0,1,0,,
14,A. Lallana,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,Brighton & Hove Albion FC
15,B. Baker-Boaitey,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
16,Pablo Sarabia,0,0,0,0,0,2,1,0,30,2,0,0,1,3,0,Wolverhampton Wanderers FC
17,M. Lemina,0,0,0,0,0,1,1,0,25,1,7,0,4,1,0,Wolverhampton Wanderers FC
18,T. Doyle,0,0,0,0,0,0,0,0,38,0,3,0,1,0,0,Wolverhampton Wanderers FC
19,Toti Gomes,0,0,0,1,0,0,0,0,36,0,1,0,2,1,0,Wolverhampton Wanderers FC
20,M. Doherty,0,0,0,0,1,0,0,0,31,1,2,1,0,0,0,Wolverhampton Wanderers FC
21,C. Dawson,0,0,0,1,0,1,0,0,29,0,0,0,0,0,,
22,José Sá,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,Wolverhampton Wanderers FC
23,Matheus Cunha,0,0,0,1,0,3,1,0,20,0,1,0,1,0,0,Wolverhampton Wanderers FC
24,Nélson Semedo,0,0,0,0,0,0,0,0,32,1,1,0,1,1,0,Wolverhampton Wanderers FC
25,M. Kilman,0,0,0,1,0,0,0,0,24,0,3,0,3,0,0,Wolverhampton Wanderers FC
26,Pedro Neto,0,0,0,0,1,1,0,0,21,1,0,0,0,1,,
27,J. Bellegarde,0,0,0,0,0,0,0,0,5,0,0,0,0,1,,
28,T. Chirewa,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,Wolverhampton Wanderers FC
