,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Richarlison,1,0,0,0,0,1,1,0,11,0,0,0,1,1,1,Tottenham Hotspur FC
1,O. Skipp,0,0,0,0,0,0,0,0,60,0,2,0,1,2,,
2,Pedro Porro,0,0,0,0,0,2,0,1,50,3,3,0,0,0,1,Tottenham Hotspur FC
3,C. Romero,0,0,0,0,0,0,0,0,43,0,1,0,0,1,1,Tottenham Hotspur FC
4,B. Davies,0,0,0,0,0,0,0,0,95,0,0,0,0,2,,
5,D. Kulusevski,0,0,0,1,1,1,1,0,30,1,6,1,2,1,1,Tottenham Hotspur FC
6,P. Sarr,0,0,0,0,0,3,2,1,45,0,0,0,0,0,1,Tottenham Hotspur FC
7,G. Vicario,0,0,0,0,0,0,0,0,63,0,0,0,0,1,1,Tottenham Hotspur FC
8,Emerson Royal,0,0,0,0,0,0,0,0,51,1,5,0,1,6,1,Tottenham Hotspur FC
9,Son Heung-Min,1,0,0,0,1,2,1,0,34,1,2,1,0,0,1,Tottenham Hotspur FC
10,B. Johnson,0,1,0,0,1,4,1,0,23,2,0,0,1,3,1,Tottenham Hotspur FC
11,E. Dier,0,0,0,0,0,0,0,0,35,0,0,0,0,0,,
12,P. Højbjerg,0,0,0,0,0,0,0,0,27,0,1,0,0,0,1,Tottenham Hotspur FC
13,G. Lo Celso,0,0,0,0,0,0,0,0,16,0,3,0,0,0,1,Tottenham Hotspur FC
14,J. Pickford,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,Everton FC
15,D. Calvert-Lewin,0,0,0,0,1,3,1,1,13,0,1,1,2,0,0,Everton FC
16,J. Garner,0,0,0,0,0,3,2,0,42,5,3,0,1,1,0,Everton FC
17,N. Patterson,0,0,0,1,2,0,0,0,39,2,3,0,5,1,0,Everton FC
18,J. Harrison,0,0,0,0,0,1,1,0,18,2,0,1,0,0,0,Everton FC
19,I. Gueye,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,Everton FC
20,J. Tarkowski,0,0,0,0,0,0,0,0,43,0,3,0,2,2,0,Everton FC
21,J. Branthwaite,0,0,0,0,0,1,0,1,40,0,1,0,1,0,0,Everton FC
22,D. McNeil,0,0,0,0,2,1,0,0,28,9,0,1,0,0,0,Everton FC
23,V. Mykolenko,0,0,0,0,0,2,1,1,25,2,3,0,1,1,0,Everton FC
24,A. Onana,0,0,0,1,0,1,0,0,26,0,2,0,3,1,,Manchester United FC
25,André Gomes,1,0,0,1,0,2,1,0,32,1,0,0,3,0,0,Everton FC
26,A. Danjuma,0,0,0,0,3,4,2,1,7,1,0,0,0,0,,
27,Norberto Bercique Gomes Betuncal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
