,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Álex Moreno,1,0,0,0,0,0,0,0,40,5,1,1,1,1,1,Aston Villa FC
1,C. Lenglet,0,0,0,0,0,2,0,1,60,0,2,0,0,2,1,Aston Villa FC
2,E. Martínez,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,Aston Villa FC
3,E. Konsa,0,0,0,0,0,0,0,0,75,0,0,0,0,1,1,Aston Villa FC
4,M. Diaby,0,0,0,0,2,1,1,0,14,0,1,0,0,0,1,Aston Villa FC
5,Y. Tielemans,0,0,0,0,0,0,0,0,26,0,1,0,1,0,1,Aston Villa FC
6,Douglas Luiz,0,0,0,1,1,0,0,0,99,5,0,0,0,0,1,Aston Villa FC
7,O. Watkins,1,0,0,0,1,4,2,1,20,0,0,1,1,2,1,Aston Villa FC
8,J. McGinn,0,0,0,1,0,2,1,0,70,2,2,0,3,2,1,Aston Villa FC
9,M. Cash,0,0,0,0,4,2,2,0,50,5,1,0,0,0,1,Aston Villa FC
10,B. Kamara,0,0,0,1,0,0,0,0,33,0,1,0,5,1,,
11,L. Bailey,0,1,0,0,0,1,0,0,16,5,0,0,0,0,1,Aston Villa FC
12,N. Zaniolo,0,0,0,1,0,0,0,0,8,0,1,0,3,1,1,Aston Villa FC
13,J. Ramsey,0,0,0,0,0,0,0,0,6,1,3,0,0,2,,
14,A. Isak,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,Newcastle United FC
15,Bruno Guimarães,0,0,0,0,0,0,0,0,53,0,4,0,0,6,0,Newcastle United FC
16,D. Burn,0,0,0,0,1,1,0,0,47,0,5,0,1,0,0,Newcastle United FC
17,S. Botman,0,0,0,0,0,2,0,1,54,0,1,0,1,0,,
18,F. Schär,2,0,0,0,1,3,2,1,43,0,0,0,2,0,0,Newcastle United FC
19,A. Gordon,0,0,0,1,1,3,1,2,23,1,2,3,3,4,0,Newcastle United FC
20,L. Miley,0,0,0,0,2,0,0,0,20,2,2,0,0,0,,
21,K. Trippier,0,1,0,0,0,0,0,0,42,11,1,0,1,1,,
22,S. Longstaff,0,0,0,0,0,2,1,1,26,0,0,0,2,1,0,Newcastle United FC
23,J. Murphy,0,0,0,0,2,2,1,0,16,3,1,1,1,0,0,Newcastle United FC
24,M. Dúbravka,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,Newcastle United FC
25,M. Almirón,0,0,0,0,0,0,0,0,14,0,3,0,1,0,0,Newcastle United FC
26,T. Livramento,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,Newcastle United FC
27,Emil Henry Kristoffer Krafth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
