,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,K. De Bruyne,0,0,0,0,2,6,3,2,83,5,3,0,0,2,1,Manchester City FC
1,S. Ortega,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,Manchester City FC
2,J. Gvardiol,0,0,0,0,0,1,0,0,74,0,5,0,0,1,1,Manchester City FC
3,M. Akanji,0,0,0,0,1,2,1,1,79,0,1,0,0,0,1,Manchester City FC
4,Rúben Dias,0,0,0,0,1,1,0,0,58,0,1,0,0,0,1,Manchester City FC
5,P. Foden,2,0,0,0,1,6,4,0,78,7,0,0,0,1,1,Manchester City FC
6,K. Walker,0,0,0,0,0,0,0,0,111,0,2,0,0,0,,
7,J. Doku,0,1,0,0,4,4,2,2,32,1,5,0,1,3,1,Manchester City FC
8,E. Haaland,0,0,0,0,1,4,0,2,16,0,0,3,1,2,1,Manchester City FC
9,Bernardo Silva,0,2,0,0,1,1,0,0,86,1,1,0,0,1,1,Manchester City FC
10,Rodri,1,0,0,0,0,3,2,0,125,0,1,0,0,0,1,Manchester City FC
11,N. Aké,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,Manchester City FC
12,M. Kovačić,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,Manchester City FC
13,T. Souček,0,0,0,0,0,0,0,0,28,0,3,0,4,2,0,West Ham United FC
14,Lucas Paquetá,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,West Ham United FC
15,J. Ward-Prowse,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,West Ham United FC
16,,0,0,0,0,0,0,0,0,29,0,0,0,0,0,,
17,M. Antonio,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,West Ham United FC
18,A. Cresswell,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,West Ham United FC
19,Emerson,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,West Ham United FC
20,K. Mavropanos,0,0,0,0,0,1,0,0,27,0,2,0,1,1,0,West Ham United FC
21,M. Kudus,1,0,0,0,1,2,2,0,23,0,2,0,2,0,0,West Ham United FC
22,K. Zouma,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,West Ham United FC
23,V. Coufal,0,0,0,0,1,0,0,0,25,3,5,0,1,0,0,West Ham United FC
24,E. Álvarez,0,0,0,1,0,0,0,0,12,0,0,0,2,0,0,West Ham United FC
25,G. Earthy,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,West Ham United FC
26,D. Ings,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,West Ham United FC
