,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,B. Osborn,0,0,0,0,0,1,0,1,20,2,2,0,0,0,1,Sheffield United FC
1,O. Norwood,0,0,0,0,0,2,1,0,44,5,1,0,1,0,1,Sheffield United FC
2,G. Baldock,0,0,0,0,2,0,0,0,27,5,2,0,2,2,,
3,C. Basham,0,0,0,0,0,0,0,0,21,0,1,0,0,1,,
4,A. Ahmedhodžić,0,0,0,1,2,2,0,1,26,0,2,0,3,1,1,Sheffield United FC
5,J. Egan,0,0,0,0,0,1,0,0,22,0,1,0,1,0,,
6,B. Traoré,0,0,0,0,0,0,0,0,12,0,2,0,5,1,,Wolverhampton Wanderers FC
7,W. Osula,0,0,0,1,1,2,0,1,8,1,0,2,3,3,1,Sheffield United FC
8,J. Robinson,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,Sheffield United FC
9,M. Lowe,0,0,0,0,0,0,0,0,17,0,8,0,2,1,,
10,W. Foderingham,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,
11,Y. Larouci,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,Sheffield United FC
12,A. Ben Slimane,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,Sheffield United FC
13,Vinicius Souza,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,Sheffield United FC
14,A. Brooks,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,Sheffield United FC
15,Antwoine Hackford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,M. Guéhi,0,0,0,0,0,1,0,0,83,0,1,0,0,2,,
17,S. Johnstone,0,0,0,0,0,0,0,0,23,0,0,0,0,0,,
18,O. Édouard,1,0,0,0,2,7,3,1,13,0,3,1,1,3,0,Crystal Palace FC
19,J. Lerma,0,0,0,0,0,1,0,0,73,0,3,0,2,2,0,Crystal Palace FC
20,J. Schlupp,0,0,0,0,0,2,1,0,28,0,4,0,0,1,0,Crystal Palace FC
21,C. Doucouré,0,0,0,0,0,1,1,0,46,0,2,0,2,0,,
22,J. Ayew,0,1,0,0,2,2,1,1,41,5,1,1,2,2,0,Crystal Palace FC
23,T. Mitchell,0,0,0,0,0,0,0,0,66,0,2,0,0,2,0,Crystal Palace FC
24,J. Ward,0,0,0,0,1,0,0,0,58,2,2,0,1,0,0,Crystal Palace FC
25,J. Andersen,0,0,0,0,0,2,2,0,84,1,3,0,2,1,0,Crystal Palace FC
26,E. Eze,0,0,0,0,0,8,0,6,46,9,0,0,1,5,0,Crystal Palace FC
27,J. Tomkins,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
