,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. Tarkowski,0,0,0,0,1,2,1,0,75,1,2,0,0,2,1,Everton FC
1,J. Garner,0,0,0,0,1,3,1,0,57,7,1,0,1,1,1,Everton FC
2,A. Doucouré,0,0,0,0,0,3,1,1,24,0,0,0,1,0,1,Everton FC
3,J. Pickford,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,Everton FC
4,B. Godfrey,0,0,0,0,0,0,0,0,41,2,6,0,0,0,1,Everton FC
5,A. Young,0,0,0,0,0,1,0,0,16,1,2,0,4,2,1,Everton FC
6,D. Calvert-Lewin,0,0,0,0,0,3,0,0,28,0,1,1,0,3,1,Everton FC
7,J. Branthwaite,0,0,0,0,0,0,0,0,62,0,2,0,0,0,1,Everton FC
8,I. Gueye,0,0,0,0,0,3,0,2,35,1,5,0,2,0,1,Everton FC
9,D. McNeil,0,1,0,0,1,0,0,0,41,10,1,0,0,1,1,Everton FC
10,V. Mykolenko,0,0,0,0,0,1,0,1,60,5,0,0,0,1,1,Everton FC
11,A. Onana,1,0,0,0,0,2,1,1,26,0,3,0,0,0,,Manchester United FC
12,J. Harrison,0,0,0,0,0,0,0,0,14,5,2,0,0,1,1,Everton FC
13,Beto,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,Everton FC
14,A. Wharton,0,0,0,0,0,0,0,0,36,9,3,0,1,2,0,Crystal Palace FC
15,J. Andersen,0,0,0,0,0,0,0,0,35,2,2,0,4,1,0,Crystal Palace FC
16,C. Richards,0,0,0,0,1,3,0,2,26,0,1,0,0,0,0,Crystal Palace FC
17,J. Ward,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,Crystal Palace FC
18,S. Johnstone,0,0,0,0,0,0,0,0,33,0,0,0,0,0,,
19,O. Édouard,0,0,0,0,1,2,1,0,22,0,2,0,2,1,0,Crystal Palace FC
20,T. Mitchell,0,0,0,0,2,1,1,0,18,4,4,0,1,3,0,Crystal Palace FC
21,J. Mateta,0,1,0,0,1,2,1,1,16,0,0,2,1,0,0,Crystal Palace FC
22,J. Lerma,0,0,0,1,0,1,0,0,32,0,0,0,2,0,0,Crystal Palace FC
23,D. Muñoz,0,0,0,0,0,0,0,0,31,1,1,0,0,0,0,Crystal Palace FC
24,J. Ayew,1,0,0,1,1,1,1,0,28,2,2,0,0,0,0,Crystal Palace FC
25,N. Ahamada,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,Crystal Palace FC
26,D. Ozoh,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Crystal Palace FC
