,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Bruno Guimarães,0,0,0,1,0,0,0,0,50,1,1,0,2,5,1,Newcastle United FC
1,F. Schär,0,0,0,1,0,1,0,0,78,1,1,0,2,0,1,Newcastle United FC
2,D. Burn,0,0,0,0,0,1,0,1,23,0,2,0,0,0,1,Newcastle United FC
3,L. Miley,0,0,0,0,0,5,1,2,39,1,1,0,0,0,,
4,M. Almirón,0,0,0,0,1,1,0,0,25,3,2,0,0,0,1,Newcastle United FC
5,K. Trippier,0,0,0,0,4,0,0,0,83,19,2,0,1,0,,
6,A. Isak,1,0,0,0,2,6,5,1,26,2,0,0,0,2,1,Newcastle United FC
7,S. Longstaff,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,Newcastle United FC
8,A. Gordon,0,0,0,1,2,3,1,2,29,5,1,0,3,2,1,Newcastle United FC
9,S. Botman,0,0,0,0,0,0,0,0,54,0,0,0,1,0,,
10,M. Dúbravka,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,Newcastle United FC
11,T. Livramento,0,0,0,0,1,0,0,0,20,2,0,0,0,1,1,Newcastle United FC
12,C. Wilson,0,0,0,0,0,2,0,0,3,0,1,0,0,0,,
13,Joelinton,0,0,0,0,0,0,0,0,7,1,1,0,1,1,,
14,L. Hall,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,Newcastle United FC
15,A. Elanga,0,2,0,0,0,5,2,1,18,2,1,1,0,2,0,Nottingham Forest FC
16,Danilo,0,0,0,0,0,0,0,0,35,0,1,0,0,1,0,Nottingham Forest FC
17,M. Niakhaté,0,0,0,0,0,0,0,0,40,0,2,0,2,0,0,Nottingham Forest FC
18,Murillo,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,Nottingham Forest FC
19,M. Turner,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,Nottingham Forest FC
20,I. Sangaré,0,0,0,1,0,0,0,0,28,0,3,0,1,0,0,Nottingham Forest FC
21,M. Gibbs-White,0,0,0,0,0,3,0,0,35,4,5,0,5,2,0,Nottingham Forest FC
22,G. Montiel,0,0,0,1,1,0,0,0,23,0,5,0,0,0,0,Nottingham Forest FC
23,O. Aina,0,0,0,0,0,2,0,1,19,0,2,0,2,1,0,Nottingham Forest FC
24,C. Wood,3,0,0,0,1,3,3,0,20,0,0,0,1,1,0,Nottingham Forest FC
25,C. Hudson-Odoi,0,0,0,0,0,1,1,0,14,1,0,0,0,1,0,Nottingham Forest FC
26,N. Williams,0,0,0,1,0,0,0,0,10,2,1,0,0,0,0,Nottingham Forest FC
27,R. Yates,0,0,0,0,0,1,0,1,6,0,0,0,0,2,0,Nottingham Forest FC
28,N. Domínguez,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,Nottingham Forest FC
29,J. Worrall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,Cheikhou Kouyaté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
