,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,K. Walker,0,0,0,0,0,0,0,0,63,0,1,0,1,0,,
1,P. Foden,0,0,0,0,1,1,0,0,40,1,0,0,2,2,1,Manchester City FC
2,S. Ortega,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1,Manchester City FC
3,M. Akanji,0,0,1,2,0,0,0,0,81,0,1,0,3,1,1,Manchester City FC
4,E. Haaland,1,0,0,0,1,2,2,0,11,1,1,0,0,1,1,Manchester City FC
5,J. Stones,0,0,0,0,0,0,0,0,44,1,1,0,0,1,1,Manchester City FC
6,J. Gvardiol,0,0,0,0,0,1,1,0,73,2,2,0,0,1,1,Manchester City FC
7,Rodri,0,0,0,1,0,0,0,0,88,0,2,0,0,1,1,Manchester City FC
8,J. Doku,0,1,0,0,0,3,1,0,37,2,1,2,1,2,1,Manchester City FC
9,J. Álvarez,1,0,0,0,0,3,2,0,47,1,1,0,2,1,1,Manchester City FC
10,Bernardo Silva,0,0,0,0,0,0,0,0,50,2,1,0,0,1,1,Manchester City FC
11,J. Grealish,0,0,0,1,0,0,0,0,8,0,3,0,0,0,1,Manchester City FC
12,Rúben Dias,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,Manchester City FC
13,Nathan Benjamin Aké,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,D. Welbeck,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Brighton & Hove Albion FC
15,P. Groß,0,0,0,0,1,1,0,0,89,3,0,0,1,1,0,Brighton & Hove Albion FC
16,J. Milner,0,0,0,0,0,0,0,0,12,0,1,0,1,1,,
17,L. Dunk,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,Brighton & Hove Albion FC
18,Igor Julio,0,0,0,1,0,0,0,0,82,0,0,0,3,0,0,Brighton & Hove Albion FC
19,J. Steele,0,0,0,0,0,0,0,0,43,0,0,0,0,0,,
20,K. Mitoma,0,0,0,0,0,3,2,0,22,0,1,0,0,4,,
21,João Pedro,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,Brighton & Hove Albion FC
22,C. Baleba,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,Brighton & Hove Albion FC
23,S. March,0,0,0,1,0,0,0,0,38,2,2,0,2,0,,
24,S. Adingra,0,0,0,0,1,0,0,0,23,1,0,1,0,0,0,Brighton & Hove Albion FC
25,E. Ferguson,0,0,0,0,0,0,0,0,18,0,0,0,1,1,0,Brighton & Hove Albion FC
26,J. Veltman,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,Brighton & Hove Albion FC
27,B. Gilmour,0,0,0,0,0,0,0,0,22,0,1,0,1,0,,
28,Ansu Fati,1,0,0,0,0,1,1,0,14,1,0,0,0,1,0,Brighton & Hove Albion FC
29,J. van Hecke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton & Hove Albion FC
