,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,M. Lemina,0,0,0,0,0,1,0,0,27,1,5,0,1,0,1,Wolverhampton Wanderers FC
1,M. Kilman,0,0,0,0,0,1,0,0,40,0,1,0,1,0,1,Wolverhampton Wanderers FC
2,C. Dawson,0,0,0,0,0,1,0,0,46,1,1,0,1,0,,
3,José Sá,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,Wolverhampton Wanderers FC
4,Pedro Neto,0,1,0,0,0,1,0,0,26,6,1,0,2,0,,
5,J. Bellegarde,0,0,0,0,2,1,0,1,20,1,1,0,1,0,,
6,Nélson Semedo,0,0,0,1,1,1,0,1,47,4,2,0,0,2,1,Wolverhampton Wanderers FC
7,R. Aït-Nouri,0,0,0,0,0,0,0,0,23,1,2,0,1,0,1,Wolverhampton Wanderers FC
8,Matheus Cunha,0,0,0,0,0,2,1,0,13,0,1,0,0,1,1,Wolverhampton Wanderers FC
9,João Gomes,0,0,0,0,0,1,0,0,34,0,6,0,1,0,1,Wolverhampton Wanderers FC
10,Hwang Hee-Chan,1,0,0,0,1,1,1,0,17,0,0,0,0,1,1,Wolverhampton Wanderers FC
11,Fábio Silva,0,0,0,0,0,0,0,0,9,0,1,1,0,0,,
12,M. Doherty,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,Wolverhampton Wanderers FC
13,Hugo Bueno,1,0,0,0,0,0,0,0,10,1,1,0,1,0,1,Wolverhampton Wanderers FC
14,T. Doyle,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,Wolverhampton Wanderers FC
15,B. Traoré,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,Wolverhampton Wanderers FC
16,J. Gomez,0,0,0,0,0,0,0,0,61,6,3,0,0,0,0,Liverpool FC
17,D. Szoboszlai,0,0,0,0,0,2,1,0,99,3,2,0,0,2,0,Liverpool FC
18,A. Robertson,1,0,0,0,0,1,1,0,79,7,2,0,1,0,0,Liverpool FC
19,J. Quansah,0,0,0,0,0,0,0,0,80,0,3,0,0,0,0,Liverpool FC
20,J. Matip,0,0,0,0,0,0,0,0,98,0,1,0,0,0,,
21,A. Mac Allister,0,0,0,1,0,0,0,0,46,0,3,0,1,1,0,Liverpool FC
22,C. Gakpo,1,0,0,0,0,3,1,0,13,0,1,0,0,1,0,Liverpool FC
23,Diogo Jota,0,0,0,0,1,1,0,0,18,1,1,0,0,1,0,Liverpool FC
24,Alisson Becker,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,Liverpool FC
25,C. Jones,0,0,0,1,0,0,0,0,76,0,1,0,0,2,0,Liverpool FC
26,Mohamed Salah,0,2,0,0,0,1,1,0,24,1,1,0,0,1,0,Liverpool FC
27,L. Díaz,0,0,0,0,3,3,1,1,33,0,3,0,1,0,0,Liverpool FC
28,H. Elliott,0,0,0,1,0,3,0,2,30,0,0,0,0,0,0,Liverpool FC
29,D. Núñez,0,0,0,0,0,2,1,0,16,0,1,0,1,1,0,Liverpool FC
30,I. Konaté,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,Liverpool FC
31,R. Gravenberch,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,Liverpool FC
