,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,B. Saka,0,1,0,0,2,2,0,1,32,6,2,0,0,2,1,Arsenal FC
1,W. Saliba,0,0,0,0,0,0,0,0,58,0,0,0,0,1,1,Arsenal FC
2,K. Havertz,0,0,0,0,0,0,0,0,27,0,0,0,1,2,1,Arsenal FC
3,D. Rice,0,1,0,0,0,1,1,0,59,1,1,0,2,0,1,Arsenal FC
4,B. White,0,0,0,0,1,1,0,1,53,3,2,0,1,0,1,Arsenal FC
5,M. Ødegaard,0,0,0,0,1,1,0,1,51,3,0,0,1,2,1,Arsenal FC
6,O. Zinchenko,0,0,0,0,0,2,1,0,88,1,5,0,0,0,1,Arsenal FC
7,L. Trossard,1,0,0,0,1,5,1,2,21,2,0,2,1,0,1,Arsenal FC
8,Gabriel Magalhães,2,0,0,0,0,3,2,0,50,0,0,0,1,3,1,Arsenal FC
9,David Raya,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,Arsenal FC
10,Gabriel Jesus,0,1,0,0,1,3,0,2,23,0,1,3,1,2,1,Arsenal FC
11,E. Smith Rowe,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,Arsenal FC
12,Gabriel Martinelli,2,0,0,0,0,2,2,0,14,0,3,0,0,0,1,Arsenal FC
13,Jorginho,0,1,0,0,0,1,0,0,29,0,2,0,0,0,1,Arsenal FC
14,E. Nketiah,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,Arsenal FC
15,J. Kiwior,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,Arsenal FC
16,W. Hughes,0,0,0,0,0,1,0,0,26,1,1,0,1,0,0,Crystal Palace FC
17,J. Andersen,0,0,0,0,0,1,0,0,55,3,1,0,1,0,0,Crystal Palace FC
18,T. Mitchell,0,0,0,0,1,0,0,0,21,2,4,0,1,0,0,Crystal Palace FC
19,E. Eze,0,0,0,0,3,4,2,2,33,8,0,1,0,4,0,Crystal Palace FC
20,J. Lerma,0,0,0,0,1,2,2,0,42,0,1,0,3,0,0,Crystal Palace FC
21,D. Henderson,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,Crystal Palace FC
22,J. Schlupp,0,0,0,0,0,2,1,0,21,0,1,0,4,0,0,Crystal Palace FC
23,M. Guéhi,0,0,0,0,0,0,0,0,43,0,0,0,0,2,,
24,N. Clyne,0,0,0,0,0,1,0,0,20,1,1,0,0,0,0,Crystal Palace FC
25,C. Richards,0,0,0,0,0,1,0,0,34,0,1,0,0,0,0,Crystal Palace FC
26,J. Mateta,0,0,0,0,1,0,0,0,13,1,0,0,2,1,0,Crystal Palace FC
27,D. Ozoh,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Crystal Palace FC
28,N. Ahamada,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,Crystal Palace FC
29,Matheus França,0,0,0,0,1,0,0,0,4,0,0,1,0,0,,
30,J. Tomkins,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
