,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Toti Gomes,0,0,0,0,0,0,0,0,51,0,1,0,1,0,1,Wolverhampton Wanderers FC
1,M. Doherty,0,0,0,0,0,0,0,0,24,0,3,0,0,0,1,Wolverhampton Wanderers FC
2,Nélson Semedo,0,0,0,0,2,2,0,1,50,3,7,0,0,2,1,Wolverhampton Wanderers FC
3,T. Doyle,0,0,0,0,0,2,1,0,65,1,1,0,2,0,1,Wolverhampton Wanderers FC
4,José Sá,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,Wolverhampton Wanderers FC
5,Matheus Cunha,0,1,0,1,0,3,1,1,38,2,1,0,1,1,1,Wolverhampton Wanderers FC
6,M. Lemina,0,0,0,0,0,1,0,1,45,0,4,1,0,2,1,Wolverhampton Wanderers FC
7,C. Dawson,0,1,0,1,0,2,1,1,55,0,0,0,2,1,,
8,M. Kilman,1,0,0,0,0,2,2,0,53,0,1,0,0,0,1,Wolverhampton Wanderers FC
9,J. Bellegarde,0,0,0,0,0,0,0,0,19,0,2,0,1,0,,
10,Pedro Neto,1,0,0,0,2,3,1,1,43,11,2,0,2,2,,
11,R. Aït-Nouri,0,0,0,0,0,0,0,0,20,1,1,0,1,0,1,Wolverhampton Wanderers FC
12,Pablo Sarabia,1,0,0,0,0,1,1,0,15,2,1,0,0,0,1,Wolverhampton Wanderers FC
13,João Gomes,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,Wolverhampton Wanderers FC
14,N. Fraser,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Wolverhampton Wanderers FC
15,Bruno Fernandes,0,1,0,0,0,5,1,2,60,6,1,0,1,0,0,Manchester United FC
16,Casemiro,0,0,0,1,0,4,1,0,45,0,5,1,3,0,0,Manchester United FC
17,L. Shaw,0,0,0,1,0,0,0,0,46,1,1,0,0,1,,
18,Lisandro Martínez,0,0,0,1,0,0,0,0,65,0,2,0,1,0,0,Manchester United FC
19,K. Mainoo,1,0,0,0,1,2,1,1,35,0,3,0,2,1,0,Manchester United FC
20,R. Varane,0,0,0,0,0,1,0,0,38,0,1,0,0,0,0,Manchester United FC
21,Diogo Dalot,0,0,0,0,0,1,0,0,45,2,1,0,0,0,0,Manchester United FC
22,A. Onana,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,Manchester United FC
23,M. Rashford,1,0,0,0,1,1,1,0,21,1,0,0,0,0,0,Manchester United FC
24,A. Garnacho,0,0,0,1,1,1,0,1,24,2,3,0,0,3,0,Manchester United FC
25,R. Højlund,1,1,0,0,0,2,2,0,16,0,1,1,2,3,0,Manchester United FC
26,Antony,0,0,0,0,1,2,0,2,4,0,1,0,1,1,0,Manchester United FC
27,S. McTominay,1,0,0,0,1,2,2,0,6,0,1,0,0,0,0,Manchester United FC
28,O. Forson,0,1,0,0,0,0,0,0,5,0,0,0,0,0,,
29,H. Maguire,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Manchester United FC
30,J. Evans,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Manchester United FC
