,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,D. Solanke,0,0,0,0,2,1,0,1,11,0,0,0,1,2,1,AFC Bournemouth
1,R. Christie,0,0,0,0,0,2,1,1,51,1,1,0,1,1,1,AFC Bournemouth
2,L. Cook,0,0,0,1,0,0,0,0,30,4,2,1,2,0,1,AFC Bournemouth
3,M. Tavernier,0,0,0,0,2,1,0,1,34,9,7,0,0,1,1,AFC Bournemouth
4,J. Kluivert,0,0,0,0,2,3,0,3,11,0,1,0,1,0,1,AFC Bournemouth
5,L. Sinisterra,0,0,0,0,1,0,0,0,15,0,1,0,0,0,1,AFC Bournemouth
6,C. Mepham,0,0,0,0,0,0,0,0,33,0,2,0,2,1,1,AFC Bournemouth
7,M. Aarons,0,0,0,0,0,0,0,0,22,1,3,0,1,3,1,AFC Bournemouth
8,Neto,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,AFC Bournemouth
9,J. Hill,0,0,0,0,0,0,0,0,18,0,3,0,0,0,,
10,I. Zabarnyi,0,0,0,0,0,0,0,0,33,0,2,0,0,1,1,AFC Bournemouth
11,L. Kelly,0,0,0,0,0,0,0,0,23,0,2,0,0,0,1,AFC Bournemouth
12,A. Scott,0,0,0,0,0,1,0,0,11,0,3,0,0,2,1,AFC Bournemouth
13,D. Brooks,0,0,0,0,1,2,0,0,7,3,0,0,0,0,,
14,K. Moore,0,0,0,0,0,1,0,0,2,0,0,0,1,1,,
15,P. Billing,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,AFC Bournemouth
16,J. Gomez,0,1,0,0,0,1,0,1,55,1,1,0,2,1,0,Liverpool FC
17,C. Jones,0,0,0,0,0,1,0,0,52,2,4,0,0,0,0,Liverpool FC
18,V. van Dijk,0,0,0,0,1,0,0,0,52,0,0,0,1,0,0,Liverpool FC
19,A. Mac Allister,0,0,0,0,0,1,0,0,72,1,9,0,0,3,0,Liverpool FC
20,L. Díaz,0,0,0,0,1,1,1,0,19,1,1,0,0,0,0,Liverpool FC
21,I. Konaté,0,0,0,0,0,0,0,0,83,0,1,0,0,1,0,Liverpool FC
22,Diogo Jota,2,1,0,0,0,2,2,0,26,0,3,0,3,2,0,Liverpool FC
23,D. Núñez,2,0,0,1,0,3,3,0,25,1,3,0,2,0,0,Liverpool FC
24,C. Bradley,0,1,0,1,3,3,1,1,33,4,3,0,2,1,0,Liverpool FC
25,Alisson Becker,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,Liverpool FC
26,H. Elliott,0,0,0,0,0,1,0,1,40,6,4,0,1,0,0,Liverpool FC
27,R. Gravenberch,0,0,0,0,0,1,0,1,9,0,1,0,1,1,0,Liverpool FC
28,C. Gakpo,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,Liverpool FC
29,B. Clark,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
30,O. Beck,0,0,0,0,0,0,0,0,4,0,2,0,0,0,,
31,K. Gordon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
