,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Rúben Dias,0,0,0,0,0,0,0,0,93,1,1,0,1,0,1,Manchester City FC
1,K. De Bruyne,0,0,0,0,2,0,0,0,35,16,2,1,2,1,1,Manchester City FC
2,Bernardo Silva,0,0,0,0,2,0,0,0,57,3,3,0,1,4,1,Manchester City FC
3,J. Gvardiol,0,0,0,0,1,1,0,0,62,6,4,0,0,2,1,Manchester City FC
4,P. Foden,0,0,0,0,0,1,0,1,41,1,1,0,0,1,1,Manchester City FC
5,M. Kovačić,0,0,0,0,0,1,0,0,87,0,0,0,0,0,1,Manchester City FC
6,N. Aké,0,0,0,0,0,1,1,0,24,0,0,0,0,0,1,Manchester City FC
7,S. Ortega,0,0,0,0,0,0,0,0,32,0,0,0,0,1,1,Manchester City FC
8,Rodri,0,0,0,0,1,2,0,1,120,0,1,0,3,3,1,Manchester City FC
9,M. Akanji,0,0,0,0,0,0,0,0,72,2,0,0,1,0,1,Manchester City FC
10,E. Haaland,0,0,0,0,0,4,0,2,11,0,0,1,1,3,1,Manchester City FC
11,R. Lewis,0,0,0,0,0,0,0,0,38,0,0,0,0,2,1,Manchester City FC
12,J. Grealish,0,0,0,0,0,0,0,0,16,2,0,0,0,2,1,Manchester City FC
13,J. Doku,0,0,0,0,1,2,0,0,12,1,1,0,0,0,1,Manchester City FC
14,Jorginho,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0,Arsenal FC
15,David Raya,0,0,0,1,0,0,0,0,35,0,0,0,0,1,0,Arsenal FC
16,K. Havertz,0,0,0,0,0,1,1,0,13,0,0,1,4,0,0,Arsenal FC
17,J. Kiwior,0,0,0,0,1,0,0,0,17,0,1,0,1,0,0,Arsenal FC
18,Gabriel Magalhães,0,0,0,0,0,0,0,0,26,0,1,0,3,0,0,Arsenal FC
19,W. Saliba,0,0,0,0,1,0,0,0,33,0,3,0,0,2,0,Arsenal FC
20,M. Ødegaard,0,0,0,0,0,0,0,0,32,0,4,0,3,2,0,Arsenal FC
21,Gabriel Jesus,0,0,0,1,0,3,0,1,10,0,1,0,3,0,0,Arsenal FC
22,B. White,0,0,0,0,0,0,0,0,13,3,1,0,1,0,0,Arsenal FC
23,D. Rice,0,0,0,0,1,0,0,0,29,5,3,0,2,0,0,Arsenal FC
24,B. Saka,0,0,0,0,0,0,0,0,14,1,4,0,2,2,0,Arsenal FC
25,T. Tomiyasu,0,0,0,0,1,0,0,0,6,0,1,0,0,1,0,Arsenal FC
26,T. Partey,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,Arsenal FC
27,L. Trossard,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,Arsenal FC
28,Gabriel Martinelli,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,Arsenal FC
