,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,T. Souček,0,0,0,1,0,2,1,0,33,0,1,0,2,1,1,West Ham United FC
1,J. Bowen,0,0,0,0,2,2,0,1,23,3,1,3,1,2,1,West Ham United FC
2,V. Coufal,0,0,0,0,0,0,0,0,44,4,3,0,0,1,1,West Ham United FC
3,K. Phillips,0,0,0,0,0,0,0,0,28,0,1,0,2,1,1,West Ham United FC
4,N. Aguerd,0,0,0,0,0,0,0,0,59,0,1,0,0,1,1,West Ham United FC
5,A. Cresswell,0,0,0,0,0,0,0,0,49,6,0,0,0,1,1,West Ham United FC
6,Lucas Paquetá,1,0,0,1,0,4,2,0,43,1,3,0,1,3,1,West Ham United FC
7,J. Ward-Prowse,0,0,0,0,0,0,0,0,18,1,0,0,1,0,1,West Ham United FC
8,A. Areola,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,West Ham United FC
9,K. Mavropanos,1,0,0,0,1,3,0,1,53,0,3,0,0,2,1,West Ham United FC
10,M. Kudus,0,0,0,0,0,3,0,1,25,8,1,1,1,4,1,West Ham United FC
11,E. Álvarez,0,0,0,0,0,2,0,1,28,0,2,0,1,1,1,West Ham United FC
12,M. Antonio,0,0,0,0,1,4,0,2,6,3,0,1,2,0,1,West Ham United FC
13,D. Ings,1,0,0,0,0,2,1,0,3,0,0,0,0,0,1,West Ham United FC
14,W. Odobert,0,0,0,0,1,0,0,0,15,0,0,0,0,2,0,Burnley FC
15,J. Trafford,0,0,0,0,0,0,0,0,67,0,0,0,0,0,,
16,M. Esteve,0,0,0,1,0,0,0,0,55,0,4,0,2,0,0,Burnley FC
17,C. Taylor,0,0,0,0,0,1,0,1,39,1,1,0,0,2,0,Burnley FC
18,J. Cullen,0,0,0,0,0,0,0,0,47,2,4,0,0,4,0,Burnley FC
19,S. Berge,0,0,0,1,1,2,0,1,52,0,1,0,2,0,0,Burnley FC
20,D. Fofana,1,0,0,0,0,3,2,1,21,2,2,0,5,0,0,Burnley FC
21,J. Bruun Larsen,0,0,0,0,1,2,1,1,20,0,0,2,1,0,0,Burnley FC
22,D. O'Shea,0,0,0,0,0,0,0,0,49,0,0,0,3,0,0,Burnley FC
23,L. Assignon,0,0,0,1,0,0,0,0,19,1,2,0,3,2,0,Burnley FC
24,Vitinho,0,0,0,0,1,1,0,1,16,1,2,0,0,1,0,Burnley FC
25,J. Brownhill,0,0,0,0,0,2,1,1,22,1,1,0,2,0,0,Burnley FC
26,H. Delcroix,0,0,0,1,0,0,0,0,4,0,0,0,0,0,,
27,J. Guðmunds­son,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Burnley FC
