,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,A. Isak,0,0,0,0,1,3,0,2,39,0,0,0,0,1,1,Newcastle United FC
1,Bruno Guimarães,0,0,0,0,1,2,0,1,63,1,4,0,2,1,1,Newcastle United FC
2,T. Livramento,0,0,0,0,2,0,0,0,46,2,0,0,0,2,1,Newcastle United FC
3,F. Schär,0,0,0,0,0,4,0,1,61,0,0,0,1,1,1,Newcastle United FC
4,J. Lascelles,0,0,0,0,0,1,0,0,53,0,1,0,1,0,1,Newcastle United FC
5,K. Trippier,0,1,0,0,0,2,0,0,74,9,2,0,2,1,,
6,Joelinton,0,0,0,1,0,1,1,0,57,0,3,0,0,5,,
7,L. Miley,0,0,0,0,2,1,0,1,39,1,3,0,0,0,,
8,M. Almirón,0,0,0,0,0,5,1,1,37,1,2,0,0,0,1,Newcastle United FC
9,N. Pope,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,
10,A. Gordon,1,0,0,0,1,3,2,1,32,3,2,0,0,3,1,Newcastle United FC
11,M. Dúbravka,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,Newcastle United FC
12,Matthew Thomas Ritchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,H. Maguire,0,0,0,1,0,2,0,1,39,0,3,1,5,0,0,Manchester United FC
14,A. Garnacho,0,0,0,0,1,1,1,0,15,2,2,0,1,2,0,Manchester United FC
15,Diogo Dalot,0,0,0,0,1,0,0,0,29,2,4,0,1,0,0,Manchester United FC
16,A. Onana,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,Manchester United FC
17,M. Rashford,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,Manchester United FC
18,A. Martial,0,0,0,0,0,0,0,0,13,0,0,0,0,1,,
19,L. Shaw,0,0,0,0,0,0,0,0,42,5,0,0,0,0,,
20,S. McTominay,0,0,0,0,0,0,0,0,24,0,2,0,3,0,0,Manchester United FC
21,Bruno Fernandes,0,0,0,0,0,0,0,0,50,2,1,0,2,1,0,Manchester United FC
22,K. Mainoo,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0,Manchester United FC
23,A. Wan-Bissaka,0,0,0,0,0,1,0,1,29,1,2,0,0,0,0,Manchester United FC
24,R. Højlund,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,Manchester United FC
25,Antony,0,0,0,1,0,1,0,1,9,0,0,0,1,0,0,Manchester United FC
26,S. Amrabat,0,0,0,0,0,1,0,0,11,1,1,0,0,0,0,Manchester United FC
27,Sergio Reguilón,0,0,0,0,0,2,0,2,9,0,0,0,0,0,,Brentford FC
