,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,M. Jørgensen,0,0,0,0,0,0,0,0,38,0,1,1,0,1,1,Brentford FC
1,M. Damsgaard,0,0,0,0,0,1,0,0,34,1,0,0,1,0,1,Brentford FC
2,N. Maupay,0,0,0,1,0,1,0,0,23,0,0,0,1,0,1,Brentford FC
3,M. Flekken,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,Brentford FC
4,M. Roerslev,0,0,0,1,0,0,0,0,32,2,2,1,0,0,1,Brentford FC
5,Y. Wissa,0,0,0,0,0,1,1,0,14,1,0,1,2,1,1,Brentford FC
6,V. Janelt,0,0,0,1,1,1,1,0,46,0,1,0,2,2,1,Brentford FC
7,N. Collins,0,0,0,0,0,0,0,0,48,0,0,0,1,1,1,Brentford FC
8,B. Mbeumo,0,0,0,0,0,0,0,0,26,2,2,0,0,3,1,Brentford FC
9,M. Jensen,0,0,0,0,1,1,1,0,42,4,2,0,1,0,1,Brentford FC
10,Sergio Reguilón,0,0,0,0,0,1,0,0,39,9,3,0,0,2,1,Brentford FC
11,K. Lewis-Potter,0,0,0,0,1,1,1,0,6,0,0,0,0,0,1,Brentford FC
12,Y. Yarmoliuk,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,Brentford FC
13,K. Schade,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,Brentford FC
14,E. Pinnock,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,Brentford FC
15,F. Onyeka,1,0,0,0,0,1,1,0,4,0,0,0,0,0,1,Brentford FC
16,B. Brereton,0,0,0,1,0,2,1,0,26,1,0,1,1,0,0,Sheffield United FC
17,M. Holgate,0,0,0,0,0,0,0,0,19,1,2,0,0,1,0,Sheffield United FC
18,O. McBurnie,0,0,0,0,0,1,0,1,24,0,1,0,0,2,0,Sheffield United FC
19,A. Trusty,0,0,0,0,0,0,0,0,41,2,0,0,5,0,0,Sheffield United FC
20,Y. Larouci,0,0,0,0,1,1,0,1,23,2,1,0,0,0,0,Sheffield United FC
21,B. Osborn,0,0,0,0,2,1,0,1,32,5,4,0,0,0,0,Sheffield United FC
22,I. Grbić,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,Sheffield United FC
23,A. Ahmedhodžić,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,Sheffield United FC
24,G. Hamer,0,0,0,0,1,0,0,0,28,0,1,1,4,0,0,Sheffield United FC
25,O. Arblaster,1,0,0,0,1,0,0,0,37,5,1,0,0,3,0,Sheffield United FC
26,J. Bogle,0,0,0,0,1,2,1,1,19,2,0,0,0,2,0,Sheffield United FC
27,J. McAtee,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,Sheffield United FC
28,C. Archer,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,Sheffield United FC
29,A. Ben Slimane,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,Sheffield United FC
