,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Bruno Fernandes,1,0,0,0,1,2,2,0,40,5,3,1,0,3,1,Manchester United FC
1,A. Onana,0,0,0,1,0,0,0,0,31,0,0,0,0,0,1,Manchester United FC
2,Diogo Dalot,0,0,0,0,0,0,0,0,41,1,4,0,0,1,1,Manchester United FC
3,Casemiro,0,0,0,1,0,1,0,0,52,0,4,0,1,0,1,Manchester United FC
4,A. Garnacho,0,0,0,0,4,3,1,2,13,2,2,1,1,0,1,Manchester United FC
5,A. Wan-Bissaka,0,1,0,0,0,0,0,0,28,0,2,0,1,0,1,Manchester United FC
6,M. Rashford,0,0,0,0,1,0,0,0,21,2,2,1,1,0,1,Manchester United FC
7,H. Maguire,0,0,0,0,0,1,0,0,58,0,4,0,0,1,1,Manchester United FC
8,R. Højlund,0,0,0,0,0,0,0,0,10,0,0,0,1,2,1,Manchester United FC
9,W. Kambwala,0,0,0,1,0,0,0,0,36,0,1,0,1,1,1,Manchester United FC
10,K. Mainoo,1,0,0,0,0,1,1,0,18,0,5,0,0,1,1,Manchester United FC
11,Antony,0,0,0,1,0,1,1,0,7,0,4,0,1,0,1,Manchester United FC
12,S. Amrabat,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,Manchester United FC
13,M. Mount,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,Manchester United FC
14,D. Szoboszlai,0,0,0,0,0,5,1,2,37,3,0,0,0,0,0,Liverpool FC
15,A. Mac Allister,0,0,0,0,1,1,0,1,64,0,4,0,2,0,0,Liverpool FC
16,L. Díaz,1,0,0,0,1,6,2,1,34,0,0,0,3,1,0,Liverpool FC
17,C. Bradley,0,0,0,1,2,1,0,1,35,0,3,1,0,1,0,Liverpool FC
18,Mohamed Salah,1,0,0,0,3,6,3,1,33,1,0,0,0,0,0,Liverpool FC
19,W. Endo,0,0,0,0,1,0,0,0,43,0,2,0,2,0,0,Liverpool FC
20,J. Quansah,0,0,0,0,0,0,0,0,92,0,2,0,0,1,0,Liverpool FC
21,V. van Dijk,0,0,0,0,0,0,0,0,69,0,1,0,1,0,0,Liverpool FC
22,C. Kelleher,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,Liverpool FC
23,D. Núñez,0,1,0,0,2,5,0,2,12,2,0,1,1,1,0,Liverpool FC
24,A. Robertson,0,0,0,0,1,2,0,1,44,17,1,0,0,1,0,Liverpool FC
25,C. Gakpo,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,Liverpool FC
26,J. Gomez,0,0,0,0,0,1,0,0,22,1,1,0,0,1,0,Liverpool FC
27,H. Elliott,0,0,0,0,0,1,1,0,26,3,0,0,0,1,0,Liverpool FC
28,C. Jones,0,0,0,1,0,0,0,0,19,0,1,0,1,1,0,Liverpool FC
