,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,L. Cook,0,0,1,0,0,0,0,0,25,1,2,0,1,0,1,AFC Bournemouth
1,I. Zabarnyi,0,0,0,1,0,0,0,0,36,0,0,0,1,0,1,AFC Bournemouth
2,M. Kerkez,0,0,0,0,0,0,0,0,22,3,2,0,1,2,1,AFC Bournemouth
3,A. Scott,0,0,0,1,0,0,0,0,18,0,1,0,2,1,1,AFC Bournemouth
4,P. Billing,0,1,0,0,0,1,1,0,25,0,3,0,2,0,1,AFC Bournemouth
5,M. Tavernier,0,0,0,0,1,0,0,0,16,2,3,0,2,1,1,AFC Bournemouth
6,D. Solanke,1,0,0,0,0,3,1,1,15,0,0,0,2,2,1,AFC Bournemouth
7,D. Brooks,0,0,0,0,0,1,1,0,20,0,2,0,1,0,,
8,M. Aarons,0,0,0,0,0,0,0,0,25,1,1,0,1,2,1,AFC Bournemouth
9,L. Kelly,0,0,0,0,1,0,0,0,41,2,1,0,1,0,1,AFC Bournemouth
10,Neto,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,AFC Bournemouth
11,J. Rothwell,0,0,0,0,1,1,0,1,12,1,1,0,0,1,,
12,R. Christie,0,0,0,0,0,1,1,0,6,2,1,0,0,0,1,AFC Bournemouth
13,Dango Ouattara,0,0,0,0,0,0,0,0,7,2,1,0,0,0,1,AFC Bournemouth
14,K. Moore,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,
15,M. Senesi,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,AFC Bournemouth
16,M. Kilman,0,0,0,1,0,0,0,0,69,3,2,0,1,1,0,Wolverhampton Wanderers FC
17,Pedro Neto,0,1,0,1,2,4,0,1,53,9,0,0,0,0,,
18,Matheus Cunha,1,0,0,1,3,5,4,0,37,2,1,0,2,3,0,Wolverhampton Wanderers FC
19,M. Doherty,0,0,0,0,0,1,0,1,53,3,3,0,0,3,0,Wolverhampton Wanderers FC
20,João Gomes,0,0,0,0,0,0,0,0,27,2,2,0,2,1,0,Wolverhampton Wanderers FC
21,Toti Gomes,0,0,0,0,1,0,0,0,53,1,1,0,1,0,0,Wolverhampton Wanderers FC
22,R. Aït-Nouri,0,0,0,0,1,1,0,1,64,2,1,0,0,1,0,Wolverhampton Wanderers FC
23,Hwang Hee-Chan,0,1,0,1,1,3,0,0,30,0,1,1,1,2,0,Wolverhampton Wanderers FC
24,C. Dawson,0,0,0,0,1,3,2,1,59,0,5,0,0,2,,
25,B. Traoré,0,0,0,1,1,1,0,1,53,0,6,0,2,0,0,Wolverhampton Wanderers FC
26,José Sá,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,Wolverhampton Wanderers FC
27,T. Doyle,0,0,0,0,1,0,0,0,63,6,3,0,0,1,0,Wolverhampton Wanderers FC
28,Pablo Sarabia,0,0,0,1,1,2,0,1,16,0,1,0,1,0,0,Wolverhampton Wanderers FC
29,S. Kalajdžić,1,0,0,0,0,1,1,0,2,0,0,0,0,1,,
