,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,M. Cash,0,0,0,1,0,2,1,1,69,2,1,0,3,1,1,Aston Villa FC
1,B. Kamara,0,0,0,0,0,0,0,0,36,0,1,0,1,0,,
2,Diego Carlos,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,Aston Villa FC
3,E. Martínez,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,Aston Villa FC
4,C. Lenglet,0,0,0,1,0,1,1,0,47,1,0,0,0,0,1,Aston Villa FC
5,Álex Moreno,0,0,0,0,1,1,0,0,30,2,2,0,1,0,1,Aston Villa FC
6,J. Ramsey,0,0,0,0,0,5,1,2,35,1,0,0,0,1,,
7,Douglas Luiz,1,0,0,0,0,3,2,1,54,6,2,0,1,0,1,Aston Villa FC
8,J. McGinn,0,0,0,0,4,4,2,1,26,5,2,0,0,2,1,Aston Villa FC
9,L. Bailey,0,0,0,0,1,2,0,1,24,3,0,0,0,1,1,Aston Villa FC
10,O. Watkins,0,0,0,0,2,3,3,0,25,1,0,0,0,1,1,Aston Villa FC
11,M. Diaby,0,0,0,1,2,2,0,1,9,2,0,0,1,1,1,Aston Villa FC
12,Y. Tielemans,0,0,0,0,0,0,0,0,21,0,2,0,1,0,1,Aston Villa FC
13,N. Zaniolo,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,Aston Villa FC
14,L. Digne,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,Aston Villa FC
15,Bruno Fernandes,0,0,0,0,0,0,0,0,37,8,2,0,1,1,0,Manchester United FC
16,Casemiro,0,0,0,1,0,2,0,1,43,0,9,0,1,3,0,Manchester United FC
17,L. Shaw,0,0,0,0,1,0,0,0,19,3,0,0,0,0,,
18,H. Maguire,0,1,0,0,0,2,0,0,59,0,4,0,1,0,0,Manchester United FC
19,A. Onana,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,Manchester United FC
20,K. Mainoo,0,0,0,1,0,0,0,0,40,1,3,0,1,1,0,Manchester United FC
21,R. Varane,0,0,0,0,1,1,0,1,30,0,3,0,1,1,0,Manchester United FC
22,Diogo Dalot,0,1,0,0,0,0,0,0,27,3,2,0,1,0,0,Manchester United FC
23,R. Højlund,1,0,0,0,2,2,1,1,14,0,1,2,0,0,0,Manchester United FC
24,M. Rashford,0,0,0,0,1,3,1,2,23,0,0,2,0,2,0,Manchester United FC
25,A. Garnacho,0,0,0,0,3,6,2,2,24,1,0,2,0,1,0,Manchester United FC
26,V. Lindelöf,0,0,0,0,0,0,0,0,27,0,1,0,1,0,0,Manchester United FC
27,S. McTominay,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,Manchester United FC
28,J. Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester United FC
29,Sofyan Amrabat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
