,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,João Palhinha,0,0,0,1,0,1,1,0,55,0,2,0,1,0,1,Fulham FC
1,T. Cairney,0,0,0,0,0,0,0,0,91,2,1,0,0,4,1,Fulham FC
2,T. Adarabioyo,0,0,0,0,0,1,0,1,112,0,1,0,1,0,1,Fulham FC
3,Andreas Pereira,0,0,0,0,2,1,0,1,43,10,0,0,0,1,1,Fulham FC
4,T. Castagne,0,0,0,0,0,2,1,1,63,1,1,1,0,1,1,Fulham FC
5,H. Wilson,0,0,0,0,1,2,1,1,33,3,1,0,1,3,1,Fulham FC
6,Rodrigo Muniz,0,0,0,0,0,2,0,0,10,0,0,0,0,4,1,Fulham FC
7,A. Robinson,0,0,0,0,3,2,0,2,58,4,3,0,0,0,1,Fulham FC
8,A. Iwobi,0,0,0,0,1,5,1,3,52,2,1,1,0,0,1,Fulham FC
9,C. Bassey,0,0,0,1,0,0,0,0,95,0,0,0,1,1,1,Fulham FC
10,B. Leno,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,Fulham FC
11,Carlos Vinícius,0,0,0,0,0,2,1,0,7,0,0,0,0,0,,
12,B. De Cordova-Reid,0,0,0,0,1,1,0,0,12,1,0,0,0,1,1,Fulham FC
13,F. Ballo-Touré,0,0,0,0,0,0,0,0,9,2,0,0,1,1,,
14,H. Reed,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,Fulham FC
15,Z. Amdouni,0,0,0,0,0,1,0,0,24,0,1,0,3,1,0,Burnley FC
16,J. Trafford,0,0,0,0,0,0,0,0,42,0,0,0,0,0,,
17,L. Foster,0,1,0,0,2,1,0,1,22,0,0,1,0,0,0,Burnley FC
18,J. Brownhill,0,0,0,0,0,0,0,0,47,3,3,0,1,2,0,Burnley FC
19,D. O'Shea,0,0,0,0,0,1,0,1,39,1,1,0,4,0,0,Burnley FC
20,J. Beyer,0,0,0,1,0,0,0,0,50,0,2,0,3,1,,
21,C. Taylor,0,0,0,0,0,0,0,0,27,3,1,0,1,0,0,Burnley FC
22,W. Odobert,1,1,0,0,1,1,1,0,14,1,2,0,0,0,0,Burnley FC
23,Vitinho,0,0,0,0,2,0,0,0,30,3,5,0,1,0,0,Burnley FC
24,J. Bruun Larsen,0,0,0,0,1,0,0,0,15,2,0,1,0,0,0,Burnley FC
25,S. Berge,1,0,0,0,0,3,1,0,29,0,4,0,1,1,0,Burnley FC
26,M. Trésor,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,Burnley FC
27,J. Rodríguez,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,Burnley FC
28,N. Redmond,0,0,0,0,0,0,0,0,3,0,0,0,1,0,,
29,C. Roberts,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,
30,H. Delcroix,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
