,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,E. Pinnock,0,0,0,0,0,0,0,0,50,0,2,0,0,0,1,Brentford FC
1,N. Collins,0,0,0,0,0,0,0,0,49,0,0,0,0,1,1,Brentford FC
2,B. Mee,1,0,0,0,1,2,1,1,49,0,2,0,2,1,,
3,M. Flekken,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,Brentford FC
4,V. Janelt,0,0,0,0,1,1,0,0,61,0,1,0,1,0,1,Brentford FC
5,M. Roerslev,0,1,0,0,0,0,0,0,32,5,2,0,2,0,1,Brentford FC
6,I. Toney,1,0,0,1,0,1,1,0,33,4,1,0,1,4,1,Brentford FC
7,N. Maupay,1,0,0,0,1,2,1,1,15,0,2,0,0,2,1,Brentford FC
8,M. Jensen,0,1,0,0,1,1,1,0,44,7,1,0,1,0,1,Brentford FC
9,M. Damsgaard,0,0,0,0,0,0,0,0,32,1,0,0,1,2,1,Brentford FC
10,K. Lewis-Potter,0,0,0,0,1,3,1,0,15,0,2,0,0,1,1,Brentford FC
11,Sergio Reguilón,0,0,0,0,0,1,0,1,12,0,0,0,0,3,1,Brentford FC
12,S. Baptiste,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
13,K. Ajer,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,Brentford FC
14,J. Dasilva,0,0,0,0,1,0,0,0,4,1,1,0,2,0,,
15,Y. Yarmoliuk,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Brentford FC
16,R. Yates,0,0,0,0,0,2,0,1,33,0,0,0,1,1,0,Nottingham Forest FC
17,Murillo,0,0,0,0,1,0,0,0,38,0,1,0,1,0,0,Nottingham Forest FC
18,C. Wood,1,0,0,0,0,2,1,1,30,0,0,0,0,0,0,Nottingham Forest FC
19,C. Hudson-Odoi,0,1,0,0,1,1,0,1,38,5,2,2,0,1,0,Nottingham Forest FC
20,Nuno Tavares,0,0,0,0,0,2,1,0,60,2,0,0,0,1,0,Nottingham Forest FC
21,Danilo,1,0,0,1,0,2,1,1,47,1,1,0,2,1,0,Nottingham Forest FC
22,M. Turner,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,Nottingham Forest FC
23,N. Domínguez,0,0,0,0,0,0,0,0,69,2,2,0,3,2,0,Nottingham Forest FC
24,O. Mangala,0,0,0,1,0,3,0,0,61,0,1,0,1,2,,
25,G. Montiel,0,0,0,1,1,0,0,0,37,3,2,0,0,0,0,Nottingham Forest FC
26,A. Omobamidele,0,0,0,0,0,0,0,0,31,0,1,0,2,0,0,Nottingham Forest FC
27,N. Williams,0,0,0,0,1,0,0,0,16,7,3,0,1,2,0,Nottingham Forest FC
28,B. Aguilera,0,0,0,0,0,0,0,0,8,0,0,0,3,0,,
