,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,E. Ferguson,0,0,0,0,2,6,4,1,21,0,0,0,1,1,1,Brighton & Hove Albion FC
1,P. Groß,1,0,0,0,3,5,4,1,109,12,1,0,0,0,1,Brighton & Hove Albion FC
2,P. Estupiñán,0,0,0,0,2,0,0,0,69,8,0,0,0,1,1,Brighton & Hove Albion FC
3,K. Mitoma,0,0,0,1,1,2,0,0,37,6,0,0,2,1,,
4,B. Gilmour,0,0,0,0,1,2,0,1,64,2,0,0,0,1,,
5,J. Milner,0,0,0,0,2,0,0,0,52,5,1,0,3,2,,
6,B. Verbruggen,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,Brighton & Hove Albion FC
7,L. Dunk,0,0,0,0,1,4,1,2,128,1,2,0,1,0,1,Brighton & Hove Albion FC
8,A. Webster,0,0,0,0,0,0,0,0,113,0,1,0,0,0,,
9,S. March,0,0,0,0,2,2,0,2,40,3,1,1,3,1,,
10,D. Welbeck,0,0,0,0,1,1,0,1,21,0,1,0,0,2,1,Brighton & Hove Albion FC
11,A. Lallana,0,0,0,0,0,0,0,0,24,0,1,0,0,0,1,Brighton & Hove Albion FC
12,João Pedro,0,0,0,0,1,2,0,2,25,4,1,0,0,0,1,Brighton & Hove Albion FC
13,S. Adingra,0,0,0,0,0,0,0,0,11,0,3,0,0,0,1,Brighton & Hove Albion FC
14,J. Veltman,0,1,0,0,1,1,1,0,10,0,0,0,0,0,1,Brighton & Hove Albion FC
15,J. Bowen,1,1,0,0,0,3,2,0,15,1,2,0,0,2,0,West Ham United FC
16,A. Areola,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,West Ham United FC
17,T. Souček,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,West Ham United FC
18,V. Coufal,0,0,0,0,0,0,0,0,14,1,2,0,0,0,0,West Ham United FC
19,K. Zouma,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,West Ham United FC
20,Lucas Paquetá,0,0,0,0,1,2,1,0,21,0,2,0,3,1,0,West Ham United FC
21,J. Ward-Prowse,1,0,0,1,2,3,2,1,25,5,0,0,1,0,0,West Ham United FC
22,E. Álvarez,0,0,0,1,0,0,0,0,15,0,1,0,3,0,0,West Ham United FC
23,A. Ogbonna,0,0,0,0,0,0,0,0,17,0,1,0,0,1,0,West Ham United FC
24,Emerson,0,0,0,0,1,1,0,0,14,1,2,0,1,4,0,West Ham United FC
25,M. Antonio,1,0,0,0,0,3,2,0,10,0,1,1,0,2,0,West Ham United FC
26,S. Benrahma,0,1,0,0,0,0,0,0,27,2,1,0,0,0,,
27,T. Kehrer,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,
28,D. Ings,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,West Ham United FC
29,Pablo Fornals,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,
