,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,L. Foster,1,0,0,0,1,2,2,0,28,0,1,1,3,0,1,Burnley FC
1,J. Beyer,0,0,0,1,0,0,0,0,53,0,10,0,1,1,,
2,A. Al Dakhil,0,0,0,0,0,3,0,2,32,0,2,0,1,0,,
3,D. O'Shea,0,0,0,0,0,1,0,0,59,0,2,0,1,0,1,Burnley FC
4,J. Trafford,0,0,0,0,0,0,0,0,54,0,0,0,0,0,,
5,Z. Amdouni,0,0,0,0,0,1,0,0,14,1,4,0,0,1,1,Burnley FC
6,S. Berge,0,0,0,0,0,0,0,0,22,0,2,0,0,0,1,Burnley FC
7,C. Roberts,0,0,0,0,0,0,0,0,60,1,0,0,1,2,,
8,L. Koleosho,0,1,0,0,0,2,0,1,8,0,0,1,0,1,,
9,J. Cullen,0,1,0,0,1,1,0,1,46,0,1,0,2,3,1,Burnley FC
10,J. Guðmunds­son,0,0,0,1,1,0,0,0,17,3,1,0,1,0,1,Burnley FC
11,J. Brownhill,1,0,0,1,3,3,1,1,20,5,1,0,1,0,1,Burnley FC
12,H. Delcroix,0,0,0,1,0,2,1,0,26,0,0,0,1,0,,
13,N. Redmond,0,0,0,0,0,0,0,0,5,1,1,0,1,1,,
14,J. Bruun Larsen,0,0,0,0,0,1,0,1,8,0,1,0,1,0,1,Burnley FC
15,J. Cork,0,0,0,0,1,0,0,0,15,1,1,0,1,0,,
16,M. van de Ven,0,0,0,0,0,0,0,0,72,0,0,0,0,1,0,Tottenham Hotspur FC
17,M. Solomon,0,2,0,0,1,2,0,2,22,0,2,0,0,0,,
18,C. Romero,1,0,0,0,0,1,1,0,74,0,2,0,0,1,0,Tottenham Hotspur FC
19,Y. Bissouma,0,0,0,0,0,2,1,0,64,0,4,0,1,2,0,Tottenham Hotspur FC
20,G. Vicario,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,Tottenham Hotspur FC
21,Pedro Porro,0,1,0,0,0,3,0,1,45,0,2,0,1,0,0,Tottenham Hotspur FC
22,D. Udogie,0,1,0,0,0,0,0,0,41,1,5,0,0,2,0,Tottenham Hotspur FC
23,Son Heung-Min,3,0,0,0,2,5,3,2,17,1,0,0,0,0,0,Tottenham Hotspur FC
24,D. Kulusevski,0,0,0,1,0,0,0,0,35,0,2,0,1,1,0,Tottenham Hotspur FC
25,P. Sarr,0,0,0,1,1,3,1,2,36,0,2,0,2,1,0,Tottenham Hotspur FC
26,J. Maddison,1,0,0,0,0,5,5,0,53,4,0,0,2,3,0,Tottenham Hotspur FC
27,I. Perišić,0,0,0,0,0,0,0,0,12,1,0,0,0,1,,
28,P. Højbjerg,0,0,0,1,0,0,0,0,16,0,0,0,1,0,0,Tottenham Hotspur FC
29,Richarlison,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,Tottenham Hotspur FC
30,Emerson Royal,0,0,0,0,0,0,0,0,17,0,0,0,1,2,0,Tottenham Hotspur FC
31,O. Skipp,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,
