,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,J. Ward-Prowse,0,0,0,0,0,2,2,0,59,9,2,0,0,0,1,West Ham United FC
1,K. Zouma,0,0,0,0,0,0,0,0,42,0,0,0,1,0,1,West Ham United FC
2,T. Souček,1,0,0,0,0,6,2,1,30,0,1,1,0,2,1,West Ham United FC
3,V. Coufal,0,1,0,0,3,0,0,0,53,3,4,0,1,0,1,West Ham United FC
4,Lucas Paquetá,0,0,0,0,1,1,0,0,53,2,0,1,1,3,1,West Ham United FC
5,Emerson,0,0,0,0,0,0,0,0,55,2,3,0,0,0,1,West Ham United FC
6,N. Aguerd,0,0,0,0,0,2,1,0,60,0,1,0,1,0,1,West Ham United FC
7,M. Antonio,0,1,0,0,1,1,0,0,10,1,0,0,0,1,1,West Ham United FC
8,J. Bowen,1,0,0,0,1,6,2,2,23,2,2,0,0,2,1,West Ham United FC
9,E. Álvarez,0,0,0,1,0,1,1,0,46,0,2,0,2,0,1,West Ham United FC
10,A. Areola,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,West Ham United FC
11,S. Benrahma,0,0,0,0,1,1,1,0,12,0,0,0,0,1,,
12,M. Kudus,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,West Ham United FC
13,K. Mavropanos,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,West Ham United FC
14,Pablo Fornals,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
15,D. Ings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,West Ham United FC
16,J. Robinson,0,0,0,0,0,0,0,0,43,0,3,0,0,1,0,Sheffield United FC
17,Vinicius Souza,0,0,0,0,1,1,0,1,66,1,4,0,3,0,0,Sheffield United FC
18,J. Egan,0,0,0,0,0,1,0,1,17,0,0,0,0,0,,
19,L. Thomas,0,0,0,0,0,1,0,1,44,6,0,0,0,0,,
20,O. McBurnie,0,0,0,0,0,2,0,0,34,0,0,1,0,0,0,Sheffield United FC
21,G. Hamer,0,0,0,0,2,2,0,2,40,5,1,0,1,0,0,Sheffield United FC
22,J. Bogle,0,0,0,0,1,1,0,1,24,4,1,2,2,2,0,Sheffield United FC
23,A. Ahmedhodžić,0,0,0,0,0,2,1,0,45,0,1,0,0,0,0,Sheffield United FC
24,W. Foderingham,0,0,0,0,0,0,0,0,25,0,0,0,0,1,,
25,J. McAtee,0,0,0,1,0,1,0,1,26,0,1,0,2,1,0,Sheffield United FC
26,C. Archer,0,0,0,0,0,2,0,1,17,0,1,0,0,1,0,Sheffield United FC
27,C. Basham,0,0,0,0,0,1,0,0,22,0,1,0,0,0,,
28,T. Davies,0,0,0,0,0,0,0,0,13,1,0,0,1,0,,
29,A. Ben Slimane,0,0,0,0,0,2,1,0,12,0,0,0,0,0,0,Sheffield United FC
30,A. Trusty,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Sheffield United FC
31,R. Brewster,0,0,0,0,0,0,0,0,5,0,1,0,0,0,,
