,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,Hwang Hee-Chan,0,0,0,0,4,1,0,0,10,0,1,1,2,1,1,Wolverhampton Wanderers FC
1,M. Lemina,1,0,0,1,0,3,2,1,37,0,6,0,2,0,1,Wolverhampton Wanderers FC
2,C. Dawson,0,0,0,0,0,1,0,0,21,0,0,1,2,0,,
3,Toti Gomes,0,0,0,0,0,1,1,0,31,0,2,0,0,1,1,Wolverhampton Wanderers FC
4,Matheus Cunha,0,0,0,1,0,1,0,0,19,0,0,0,1,1,1,Wolverhampton Wanderers FC
5,M. Kilman,0,0,0,0,0,0,0,0,18,0,2,0,0,0,1,Wolverhampton Wanderers FC
6,Nélson Semedo,0,0,0,0,0,0,0,0,23,5,3,0,1,1,1,Wolverhampton Wanderers FC
7,Pablo Sarabia,0,1,0,0,4,3,0,3,16,10,0,0,1,1,1,Wolverhampton Wanderers FC
8,R. Aït-Nouri,0,0,0,0,1,0,0,0,22,1,0,1,1,1,1,Wolverhampton Wanderers FC
9,João Gomes,0,0,0,0,1,2,1,1,31,1,7,0,0,2,1,Wolverhampton Wanderers FC
10,José Sá,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,Wolverhampton Wanderers FC
11,S. Bueno,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Wolverhampton Wanderers FC
12,T. Doyle,0,0,0,0,0,1,1,0,7,2,0,0,0,0,1,Wolverhampton Wanderers FC
13,M. Doherty,1,0,0,0,0,1,1,0,5,0,0,0,0,0,1,Wolverhampton Wanderers FC
14,Hugo Bueno,0,0,0,1,0,0,0,0,3,0,1,0,1,0,1,Wolverhampton Wanderers FC
15,L. Colwill,0,0,0,0,0,0,0,0,47,0,3,0,1,1,,
16,C. Gallagher,0,0,0,1,0,3,1,2,71,1,2,0,3,1,0,Chelsea FC
17,Thiago Silva,0,0,0,0,0,0,0,0,76,0,2,0,0,0,0,Chelsea FC
18,Đ. Petrović,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,Chelsea FC
19,A. Disasi,0,0,0,0,0,0,0,0,84,1,1,0,0,1,0,Chelsea FC
20,M. Gusto,0,0,0,1,0,1,0,1,42,2,1,0,0,2,0,Chelsea FC
21,L. Ugochukwu,0,0,0,0,0,0,0,0,37,0,2,0,1,1,,
22,C. Palmer,0,0,0,1,2,2,0,1,63,5,2,0,1,0,0,Chelsea FC
23,R. Sterling,0,1,0,1,2,3,1,1,34,5,1,0,2,2,0,Chelsea FC
24,N. Jackson,0,0,0,1,0,1,0,1,20,0,0,0,1,1,0,Chelsea FC
25,A. Broja,0,0,0,0,0,1,0,0,8,0,0,0,0,1,,Fulham FC
26,C. Nkunku,1,0,0,0,1,4,3,1,18,1,0,0,0,0,,
27,M. Mudryk,0,0,0,0,1,0,0,0,20,3,2,0,0,0,0,Chelsea FC
28,I. Maatsen,0,0,0,0,0,0,0,0,14,0,0,0,0,0,,
29,B. Badiashile,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,Chelsea FC
30,N. Madueke,0,0,0,0,0,1,0,0,13,3,0,0,0,1,0,Chelsea FC
31,M. Bettinelli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
